wt34	wt35	AN1	AN2	CTR1	CTR2	LSC159	LSC177	LSCabb	LSCAN40	LSCAN55
MS4A10	0	0	0	0	0	0	0	0	0	0	0
MS4A12	0	0	0	0	0	0	0	0	0	0	0
MS4A13	0	0	0	0	3	0	0	0	0	0	0
MS4A14	0	0	0	0	0	0	0	0	0	0	0
MS4A15	0	0	0	0	0	0	0	0	0	0	0
MS4A18	0	0	0	0	0	0	0	0	0	0	0
MS4A2	0	0	0	0	0	0	0	0	0	0	0
MS4A3	0	0	0	0	0	0	0	0	0	0	0
MS4A4A	1	0	0	1	0	0	0	0	0	0	0
MS4A4E	0	0	0	0	0	0	0	0	0	0	0
MS4A5	0	0	0	0	1	0	0	0	0	0	0
MS4A6A	0	0	0	0	0	0	0	0	0	1	0
MS4A8	0	0	0	0	0	0	0	0	0	0	0
MSANTD1	1	0	2	0	0	0	1	0	0	0	0
MSANTD2	93	47	213	137	79	98	30	26	49	27	32
MSANTD3	1177	648	3216	1572	1598	1495	228	176	325	124	256
MSANTD3-TMEFF1	0	0	0	0	0	0	0	0	0	0	0
MSANTD4	2261	755	518	493	269	331	95	83	262	95	117
MSC	1	0	2	9	15	0	2	0	0	0	0
MSC-AS1	0	0	8	99	122	1	0	0	0	0	1
MSGN1	0	0	0	1	0	1	2	2	6	2	3
MSH2	1173	1483	1889	761	708	903	179	102	216	114	202
MSH3	1872	823	184	200	168	183	216	153	281	96	197
MSH4	1	3	0	16	3	4	0	0	0	0	1
MSH5	14	3	5	2	2	0	14	6	11	5	15
MSH5-SAPCD1	2	1	0	0	0	0	0	0	0	0	0
MSH6	2141	2262	1547	931	747	778	293	230	417	212	281
MSI1	0	0	2	2	4	0	0	0	2	1	0
MSI2	1068	592	782	460	598	622	424	311	769	291	423
MSL1	1508	884	1017	1119	852	754	428	309	844	294	446
MSL2	631	370	245	197	127	196	115	98	209	84	125
MSL3	867	486	603	486	334	454	72	65	104	60	52
MSLN	122	34	121	384	101	59	2	1	2	18	1
MSLNL	0	1	0	1	0	0	0	0	0	0	0
MSMB	1	0	4	2	13	10	0	0	0	0	0
MSMO1	16067	14671	28802	11441	18436	16436	4171	2311	8095	2985	3688
MSMP	0	0	0	0	0	0	0	0	0	0	1
MSN	8174	9717	5676	2457	3808	3168	2448	1274	3686	1389	1420
MSR1	3	0	0	1	0	0	3	7	3	2	1
MSRA	42	23	327	257	177	204	71	48	77	39	61
MSRB1	151	93	317	216	207	252	39	27	43	18	19
MSRB2	855	271	1370	1363	864	1013	120	69	148	106	76
MSRB3	876	390	334	306	408	72	169	102	151	55	117
MSS51	16	9	12	26	14	6	13	4	17	5	6
MST1	23	5	32	41	17	10	0	1	1	1	3
MST1R	304	216	734	373	328	338	17	23	65	33	12
MSTN	3	0	2	2	5	6	0	0	1	0	0
MSTO1	45	32	40	84	46	55	22	7	19	17	22
MSX1	5	0	4	69	48	4	3	0	2	0	0
MSX2	81	42	94	108	84	79	38	26	63	18	25
MT-ATP6	231	49	184733	114434	105526	109525	34842	51198	64292	46026	36436
MT-ATP8	15	4	7052	8007	4884	2873	10564	7548	14578	11791	10060
MT-CO1	4345	1622	102346	68567	58874	55728	26864	24102	26769	30947	22575
MT-CO2	2277	639	332619	303778	251539	216796	37555	45480	77230	48966	39141
MT-CO3	4948	1439	211796	174121	130314	147569	54322	60183	104941	61852	57106
MT-CYB	576	148	81766	67420	48427	43872	42290	37976	60952	33907	48945
MT-ND1	78	31	66439	80612	31955	46635	30968	33713	58911	53184	34099
MT-ND2	104	29	69598	109128	37413	49188	22528	24316	35490	31931	27222
MT-ND3	856	245	44687	36609	24888	35059	25790	23792	51748	29502	24346
MT-ND4	348	102	203414	201695	137234	134680	80545	74931	136793	79186	92036
MT-ND4L	117	45	3835	4327	2377	2472	12524	11887	14295	11638	13047
MT-ND5	535	158	15090	16632	9383	11137	25559	23439	25028	24934	26552
MT-ND6	140	34	4502	4440	2834	3028	1534	1075	1079	1869	1372
MT1A	5	2	50	26	39	17	1	1	8	5	2
MT1B	0	0	28	1	0	0	22	13	3	0	2
MT1E	9384	6052	32632	9460	7413	11927	3557	1663	3358	1174	2702
MT1F	154	48	247	48	101	93	42	26	47	51	39
MT1G	4	1	156	34	32	59	8	12	20	31	14
MT1H	1	0	4	2	2	2	0	0	2	0	0
MT1HL1	0	0	0	0	0	0	5	4	5	9	5
MT1M	0	0	83	21	29	19	3	3	6	2	0
MT1X	1093	320	1770	595	956	1348	319	83	414	215	249
MT2A	4691	5066	218143	33919	81322	75227	46800	26011	48944	44126	45620
MT3	0	0	0	4	0	0	0	0	1	0	0
MT4	0	0	0	0	0	0	0	0	0	0	0
MTA1	303	152	8	11	7	14	326	208	517	212	306
MTA2	5792	3150	249	152	123	195	302	203	550	235	283
MTA3	843	246	1038	784	627	819	209	159	361	140	233
MTAP	3410	2264	2587	1660	1158	2060	538	487	1024	390	560
MTBP	783	583	278	114	122	192	52	28	57	28	53
MTCH1	4850	2593	3926	2414	2142	2296	472	345	654	305	375
MTCH2	5954	3586	5339	3775	2941	3848	615	523	1353	548	654
MTCL1	832	419	519	500	374	523	116	60	169	51	96
MTCP1	13	6	25	25	21	15	5	2	1	1	6
MTDH	8598	4600	8875	9111	4706	5704	1812	1384	2229	1088	1903
MTERF1	772	419	652	556	385	483	52	35	123	47	75
MTERF2	149	99	332	182	189	200	16	6	18	5	15
MTERF3	996	439	1272	1213	638	736	81	66	263	88	78
MTERF4	511	296	574	496	401	409	64	77	139	57	87
MTF1	435	232	293	317	177	229	182	106	231	93	142
MTF2	1622	1022	1123	612	640	807	215	147	340	115	172
MTFMT	649	388	627	344	248	284	75	43	105	45	83
MTFP1	18	11	2	0	0	0	1	0	1	0	1
MTFR1	5282	1994	3030	2863	1763	2089	204	202	460	154	216
MTFR1L	558	236	520	532	298	315	36	28	70	34	40
MTFR2	196	174	653	215	253	386	84	60	88	58	108
MTG1	42	21	277	78	84	122	25	20	54	27	18
MTG2	748	414	209	187	145	148	123	86	203	84	103
MTHFD1	2322	2378	1937	960	806	1338	396	263	631	223	398
MTHFD1L	2947	1121	1605	2167	825	1438	371	297	508	228	405
MTHFD2	18249	5284	7199	7967	3689	10021	878	887	2296	813	884
MTHFD2L	985	364	852	618	633	847	117	65	195	98	124
MTHFR	504	260	261	150	143	211	50	40	85	43	34
MTHFS	19	4	75	106	33	54	103	73	263	80	123
MTHFSD	280	147	157	142	70	132	33	30	63	17	31
MTIF2	4608	1708	1530	1889	918	1292	272	244	562	224	306
MTIF3	1111	453	2033	2132	1266	1402	64	45	116	67	72
MTLN	841	383	1224	1024	729	691	239	118	379	218	268
MTM1	1070	501	959	704	430	683	83	58	122	56	58
MTMR1	1149	798	915	313	322	539	171	133	330	143	229
MTMR10	685	484	397	207	275	302	75	58	153	46	65
MTMR11	447	125	422	184	245	265	64	40	94	39	52
MTMR12	1583	876	818	630	435	665	155	160	238	82	157
MTMR14	1241	770	408	342	178	240	57	32	69	25	36
MTMR2	3405	1737	1939	1468	1107	1521	274	256	417	140	296
MTMR3	219	87	65	80	41	30	129	92	222	88	97
MTMR4	2558	1450	420	305	244	266	79	64	125	54	123
MTMR6	4668	2251	1754	1456	970	1085	331	305	551	286	446
MTMR7	64	19	21	26	25	14	0	1	1	1	3
MTMR8	40	38	23	8	5	8	1	2	3	0	2
MTMR9	1280	665	759	772	584	515	235	164	377	120	192
MTNR1A	0	0	0	0	0	0	0	0	0	0	0
MTNR1B	5	0	0	0	0	0	0	0	0	0	0
MTO1	1324	638	803	1044	594	741	46	40	114	33	51
MTOR	2640	2154	684	606	492	426	129	92	147	54	122
MTOR-AS1	3	1	0	0	0	0	0	0	0	0	0
MTPAP	1565	955	1001	744	489	822	156	110	258	93	171
MTPN	10156	7135	4366	3272	2372	3013	1465	1289	3191	1108	1504
MTR	1782	1478	708	567	467	560	259	163	393	191	245
MTRES1	475	211	936	649	477	692	68	54	150	66	69
MTREX	7511	5050	1574	1271	1002	1217	236	215	397	190	273
MTRF1	551	291	329	242	203	262	30	15	58	12	15
MTRF1L	281	192	253	110	83	76	21	13	30	15	28
MTRNR2L1	1	0	0	0	0	76	589	2763	1262	635	476
MTRNR2L10	0	0	0	1	0	0	5	2	7	11	10
MTRNR2L11	0	0	0	0	0	0	28	30	50	37	20
MTRNR2L12	0	0	3	5	5	2	3959	3509	3067	3060	2851
MTRNR2L13	0	0	0	0	0	0	3	0	4	1	3
MTRNR2L3	1	1	1	3	1	0	83	43	140	99	41
MTRNR2L4	0	0	0	0	0	0	8	3	10	10	5
MTRNR2L5	0	0	0	0	0	0	22	13	23	21	15
MTRNR2L6	0	0	0	0	0	0	32	24	27	21	15
MTRNR2L7	0	0	0	0	0	0	16	6	28	16	16
MTRNR2L8	3	0	2	32	1	0	454	538	379	381	341
MTRR	1385	656	812	769	351	457	148	137	303	127	211
MTSS1	1742	552	2345	1031	1599	966	173	64	295	114	114
MTSS2	369	152	86	203	76	77	66	26	150	50	60
MTTP	12	1	8	7	2	6	1	2	6	2	0
MTURN	1248	848	1246	1114	715	645	191	159	374	126	130
MTUS1	1366	607	233	190	219	328	182	136	347	96	143
MTUS2	39	14	6	3	4	1	0	0	0	1	1
MTUS2-AS1	1	0	0	0	0	0	0	0	0	0	0
MTUS2-AS2	0	0	0	0	0	0	0	0	0	0	0
MTX1	831	422	4	3	3	3	2	0	1	1	1
MTX2	1727	735	4139	2540	2073	2997	358	304	897	290	449
MTX3	3158	1124	682	883	935	1040	351	304	541	153	347
MUC1	1	2	15	3	10	8	2	0	0	0	1
MUC12	0	0	6	4	4	2	4	0	0	2	0
MUC13	0	0	0	0	0	0	0	0	0	0	0
MUC15	10	2	69	312	83	102	1	1	2	1	4
MUC16	25	3	11	1	27	9	0	0	0	0	0
MUC17	0	0	0	0	0	0	0	0	1	0	0
MUC19	0	0	6	2	3	5	4	0	4	2	0
MUC2	0	0	0	2	0	0	0	1	0	0	0
MUC20	1	1	5	14	1	8	2	0	2	0	3
MUC20-OT1	182	50	156	87	66	72	53	8	51	22	21
MUC21	0	0	1	0	36	6	0	0	0	0	0
MUC22	0	0	0	0	0	0	0	0	0	0	0
MUC3A	1	0	0	4	0	0	0	1	1	1	0
MUC4	0	0	2	0	1	0	0	0	0	0	0
MUC5AC	0	0	0	0	0	0	0	0	0	0	0
MUC5B	1	0	0	1	0	0	0	0	0	0	0
MUC5B-AS1	0	0	0	0	0	0	0	0	0	0	0
MUC6	1	0	3	0	0	0	0	0	0	0	0
MUC7	0	0	0	5	0	0	0	0	0	0	0
MUCL1	0	0	1	5	0	2	2	0	0	0	1
MUCL3	0	0	0	0	0	0	0	0	0	0	0
MUL1	1138	812	310	227	167	169	139	123	141	78	121
MUS81	839	301	576	560	314	405	76	48	81	35	55
MUSK	7	8	0	0	0	0	3	0	0	0	1
MUSTN1	0	1	0	0	0	0	0	0	0	0	0
MUTYH	292	140	151	77	105	109	0	4	1	0	1
MVB12A	956	396	175	117	82	88	45	24	57	38	28
MVB12B	15	5	16	9	7	5	9	2	11	11	6
MVD	1573	1802	361	128	181	185	46	7	44	39	30
MVK	265	254	226	77	112	108	117	59	121	90	69
MVP	2434	1702	700	403	437	295	71	20	52	22	28
MX1	739	226	744	68	128	100	38	23	68	187	28
MX2	188	64	92	6	22	18	1	0	3	20	1
MXD1	972	204	271	794	146	294	56	47	144	40	55
MXD3	123	86	31	22	19	11	17	3	15	11	6
MXD4	951	430	145	73	119	70	97	45	151	57	55
MXI1	1052	305	782	1248	732	752	90	109	361	82	102
MXRA5	90	25	49	42	70	80	53	18	129	21	15
MXRA7	2579	1261	1431	1574	1036	1667	117	58	136	63	69
MXRA8	27	8	1	57	51	2	1	2	4	1	1
MYADM	88	89	505	288	208	250	833	539	942	595	537
MYADML2	0	0	0	0	0	0	0	0	0	0	0
MYB	5	8	7	0	5	5	2	2	4	2	4
MYB-AS1	0	0	0	0	0	0	0	0	0	0	0
MYBBP1A	2024	1941	79	91	51	43	80	53	164	63	75
MYBL1	218	182	184	74	89	134	35	20	95	27	36
MYBL2	528	769	115	53	60	79	114	93	91	88	109
MYBPC1	0	0	0	1	0	0	0	0	1	1	0
MYBPC2	0	0	0	0	0	0	0	0	0	0	0
MYBPC3	0	0	0	0	0	0	0	0	0	0	0
MYBPH	0	0	0	0	0	0	0	0	0	0	0
MYBPHL	3	3	14	10	6	10	5	2	1	3	3
MYC	8450	4088	6978	3558	5059	9013	1282	1244	2934	706	1510
MYCBP	1072	766	1787	1176	827	1152	124	123	343	101	155
MYCBP2	2646	1431	863	523	516	570	639	448	837	414	615
MYCBP2-AS1	4	1	0	0	0	1	0	0	0	0	0
MYCBP2-AS2	3	1	0	0	0	0	3	0	0	0	0
MYCBPAP	4	2	6	1	3	1	0	0	2	0	1
MYCL	689	199	60	67	44	71	11	16	52	10	19
MYCN	0	0	0	3	1	2	0	0	0	0	0
MYCNOS	0	0	0	0	0	0	0	0	0	0	0
MYCNUT	0	0	0	0	0	0	0	0	0	0	0
MYCT1	0	0	0	1	0	0	0	0	1	0	0
MYD88	457	240	1060	919	721	638	139	97	180	106	103
MYDGF	3176	1344	2262	2982	1277	1306	377	226	445	279	358
MYEF2	24	16	146	47	64	30	55	39	91	15	76
MYEOV	58	30	24	10	16	3	0	0	0	0	1
MYF5	0	0	0	0	0	0	0	0	0	0	0
MYF6	0	0	0	0	0	0	0	0	1	0	0
MYH1	0	0	0	0	0	0	0	0	0	0	0
MYH10	2005	2585	1260	611	868	787	671	450	849	354	502
MYH11	17	7	4	4	3	0	6	0	10	2	5
MYH13	0	0	0	0	0	0	0	0	0	0	0
MYH14	302	80	0	4	2	2	0	0	2	0	1
MYH15	5	1	175	40	22	10	2	4	3	3	5
MYH2	0	0	0	1	0	0	0	0	0	0	0
MYH3	64	16	63	48	26	22	3	4	4	1	6
MYH4	0	0	0	0	0	0	0	0	0	0	0
MYH6	2	0	0	0	0	0	0	0	0	0	0
MYH7	0	0	0	1	0	0	0	0	0	0	0
MYH7B	9	3	0	4	5	5	2	0	0	0	2
MYH8	0	0	0	0	0	0	0	0	0	0	0
MYH9	31837	28459	10340	6612	7193	7378	7225	4813	11464	3948	5028
MYHAS	8	8	1	0	0	1	1	0	4	1	0
MYL1	0	0	0	0	0	0	0	0	0	0	0
MYL10	0	0	0	0	0	0	0	0	0	0	0
MYL12A	8489	3975	29242	16912	18069	18415	1986	1297	3777	1336	1574
MYL12B	25365	10841	66362	43063	38204	37489	5387	4347	10680	3778	5506
MYL2	0	2	1	0	1	1	2	0	0	0	0
MYL3	0	1	2	6	7	1	0	0	0	0	0
MYL4	1	0	0	0	0	0	0	0	0	0	0
MYL5	35	20	8	12	10	6	5	4	12	6	2
MYL6	9231	8904	52623	25509	35229	27079	5288	3130	8220	3560	4945
MYL6B	287	149	291	311	202	182	63	31	77	37	31
MYL7	21	3	1	0	6	0	0	1	0	0	0
MYL9	289	86	148	281	176	68	25	8	57	5	2
MYLIP	123	29	179	157	79	62	15	10	35	13	11
MYLK	868	588	315	516	298	591	145	116	563	99	98
MYLK-AS1	98	18	50	58	38	66	6	5	30	8	6
MYLK-AS2	4	1	0	0	0	0	0	0	0	0	0
MYLK2	0	2	0	0	0	0	0	0	0	0	1
MYLK3	12	3	0	0	0	0	2	0	0	0	1
MYLK4	7	4	9	2	3	3	3	1	4	1	2
MYLPF	2	1	2	1	2	1	0	0	0	0	0
MYMK	0	0	0	0	0	0	0	0	0	0	0
MYMX	0	0	11	4	3	1	0	0	1	0	0
MYNN	1350	407	772	851	463	656	101	68	147	51	93
MYO10	3358	2207	3453	2555	2015	1844	905	538	995	564	809
MYO15A	14	5	12	21	6	6	2	1	3	1	2
MYO15B	10	4	6	18	20	2	0	0	2	2	0
MYO16	91	13	2	1	12	10	8	1	9	1	1
MYO16-AS1	27	7	7	0	1	22	6	1	6	1	0
MYO16-AS2	0	0	0	0	0	0	0	0	0	0	0
MYO18A	2245	1663	12	11	15	12	71	33	43	34	33
MYO18B	0	0	0	1	0	0	0	0	0	0	0
MYO19	2382	1688	757	586	446	510	220	149	217	108	213
MYO1A	6	1	0	0	0	0	0	0	0	0	0
MYO1B	24940	9202	6534	7021	6486	9215	3256	2615	5898	1505	2601
MYO1C	5173	2701	1880	1391	999	1106	699	369	560	364	402
MYO1D	1615	868	804	454	408	286	231	128	264	147	138
MYO1E	4324	3096	1312	949	873	1002	588	351	683	294	384
MYO1F	18	8	15	5	7	5	0	1	2	1	0
MYO1G	1	0	0	0	0	1	0	1	0	1	0
MYO1H	5	1	1	1	1	3	0	0	0	0	0
MYO3A	0	0	0	0	0	0	0	0	0	0	0
MYO3B	111	56	95	36	138	105	12	5	27	10	11
MYO3B-AS1	1	2	0	0	0	0	0	0	0	0	0
MYO5A	3371	1637	1802	1233	882	1179	585	405	664	297	390
MYO5B	815	300	309	261	236	256	24	5	23	9	12
MYO5C	98	79	66	27	41	85	29	18	87	13	17
MYO6	1509	892	1517	1328	1364	1522	542	479	1211	366	438
MYO7A	10	8	7	2	5	6	1	0	2	0	0
MYO7B	1	0	0	1	0	0	0	0	0	0	0
MYO9A	1638	820	313	317	212	298	233	131	374	132	203
MYO9B	683	430	204	174	131	86	160	69	136	89	112
MYOC	0	0	0	0	0	0	0	0	0	0	0
MYOCD	0	0	0	8	5	0	1	0	1	0	0
MYOCOS	1	0	0	0	2	0	0	0	1	0	1
MYOD1	0	0	0	0	0	0	0	0	0	0	0
MYOF	16546	8756	3570	2572	2614	3426	1772	1450	2365	1161	1764
MYOG	0	0	0	0	0	0	0	0	0	0	0
MYOM1	0	3	5	2	1	1	1	0	2	0	0
MYOM2	12	0	56	57	11	56	2	7	14	5	1
MYOM3	2	0	20	6	9	0	2	1	1	0	1
MYORG	379	440	372	203	200	195	93	95	157	51	73
MYOSLID	1734	536	623	462	464	359	154	109	195	35	126
MYOT	0	0	1	0	0	0	0	0	0	0	0
MYOZ1	3	1	2	2	3	4	0	0	0	0	0
MYOZ2	0	0	0	0	1	0	0	0	0	0	0
MYOZ3	3	1	1	3	12	0	3	1	1	1	5
MYPN	5	6	0	1	2	1	0	0	1	0	0
MYPOP	25	17	135	138	87	76	35	11	34	16	27
MYRF	10	10	10	4	12	1	1	2	4	1	3
MYRF-AS1	0	0	0	0	0	0	0	0	0	0	0
MYRFL	4	0	11	5	8	13	0	0	1	0	0
MYRIP	2	0	0	0	0	0	0	1	0	0	0
MYSM1	866	379	603	413	390	469	266	153	305	153	218
MYT1	1	0	0	0	0	0	0	0	0	0	0
MYT1L	0	0	0	0	3	0	1	1	0	0	1
MYT1L-AS1	0	0	0	0	1	0	0	0	0	0	0
MYZAP	29	9	145	30	43	42	20	19	16	31	6
MZB1	1	0	1	0	0	0	0	0	2	0	0
MZF1	186	41	56	125	58	35	13	4	13	6	4
MZF1-AS1	22	18	6	5	3	6	0	3	3	2	0
MZT1	1232	776	5409	3099	2645	4150	195	224	644	170	274
MZT2A	725	348	1625	1502	962	1044	80	31	60	49	56
MZT2B	1017	354	2565	2016	1244	1561	181	45	142	137	101
N4BP1	1529	695	1248	716	628	759	411	293	492	284	301
N4BP2	509	184	162	169	105	146	208	132	147	86	152
N4BP2L1	34	7	106	43	55	57	10	5	17	4	4
N4BP2L2	4780	1934	1247	1713	1021	1044	519	336	741	303	441
N4BP2L2-IT2	64	28	7	11	6	2	15	12	11	7	11
N4BP3	286	99	36	14	3	15	1	2	1	3	2
N6AMT1	399	174	570	434	299	355	19	21	32	19	33
NAA10	470	214	1147	1269	608	807	67	43	98	64	52
NAA11	0	0	0	0	0	0	0	0	0	0	0
NAA15	5983	3830	1185	1137	615	799	532	400	866	321	719
NAA16	330	175	376	296	211	276	119	78	122	73	134
NAA20	3124	1686	10965	8695	6068	7787	649	611	1164	468	871
NAA25	1576	1002	839	687	450	542	370	274	759	275	473
NAA30	2204	1002	1019	1009	580	789	153	145	251	91	162
NAA35	1785	873	730	1015	414	723	259	186	356	152	247
NAA38	2148	1061	2091	1062	1144	1291	276	183	343	263	237
NAA40	392	297	283	171	106	141	114	79	174	68	84
NAA50	10605	6352	7031	6987	3515	5036	700	672	1636	471	992
NAA60	70	33	316	248	155	168	82	29	48	27	36
NAA80	42	17	77	65	45	39	15	6	12	8	7
NAAA	313	211	205	178	139	148	59	47	73	59	59
NAALAD2	16	15	13	17	13	13	0	0	0	0	1
NAALADL1	181	38	107	81	42	72	8	4	6	13	8
NAALADL2	13	6	34	29	28	10	5	5	12	5	8
NAALADL2-AS1	0	0	0	0	0	0	0	0	1	0	0
NAALADL2-AS2	0	0	4	0	2	1	1	0	2	0	1
NAALADL2-AS3	0	0	0	0	0	0	0	0	0	0	0
NAB1	2759	1291	1421	1419	891	1365	151	95	325	77	113
NAB2	887	641	91	60	77	86	207	158	331	155	162
NABP1	1508	642	1282	1431	1116	967	271	166	410	132	242
NABP2	1769	890	465	337	202	317	112	76	114	88	116
NACA	18081	6363	46903	37092	30459	38392	651	813	1535	580	501
NACA2	8	1	10	8	6	24	2	1	1	0	1
NACAD	9	27	61	29	48	19	2	1	7	3	0
NACC1	721	728	57	89	33	34	7	9	17	17	4
NACC2	407	343	113	103	82	57	114	77	108	42	91
NADK	1256	595	124	172	55	82	55	46	79	31	54
NADK2	1725	842	791	653	386	578	91	69	224	66	104
NADK2-AS1	0	1	0	0	0	0	0	0	0	0	0
NADSYN1	1355	641	315	386	221	204	46	20	59	27	25
NAE1	5384	3282	4938	3715	2670	3320	406	374	883	310	484
NAF1	194	108	264	347	135	224	98	80	181	85	166
NAGA	873	523	652	270	324	256	175	132	235	105	173
NAGK	766	381	532	303	312	196	122	71	113	85	98
NAGLU	390	182	100	97	75	75	26	15	32	14	9
NAGPA	148	108	148	96	76	116	39	23	24	20	32
NAGPA-AS1	1	1	0	0	0	0	0	0	0	0	0
NAGS	136	45	231	148	96	144	24	18	28	11	13
NAIF1	359	171	122	103	58	52	15	12	32	9	16
NAIP	0	1	0	0	2	3	0	0	0	0	0
NALCN	149	42	9	7	11	7	4	0	1	1	0
NALCN-AS1	1	1	0	0	0	0	0	1	0	0	0
NALT1	7	0	9	2	21	11	1	0	4	0	1
NAMA	0	0	1	0	0	0	0	0	0	0	0
NAMPT	6823	1889	3007	4459	2254	2949	262	237	618	193	259
NANOG	1	0	0	0	0	0	1	1	0	0	0
NANOGNB	0	0	0	0	0	0	0	0	0	0	0
NANOGP11	0	0	0	0	0	0	0	0	0	0	0
NANOGP8	0	0	0	0	0	0	0	0	0	0	0
NANOS1	70	65	33	46	22	10	5	7	10	1	3
NANOS3	13	4	5	4	9	4	0	0	0	0	2
NANP	1123	525	463	302	256	334	78	47	104	42	74
NANS	2371	1051	816	602	351	468	149	99	125	99	106
NAP1L1	25239	11641	39142	34100	26751	29784	2576	2207	5450	2020	2325
NAP1L2	2	1	220	107	96	98	37	23	45	24	21
NAP1L3	0	0	64	41	51	19	16	8	16	7	16
NAP1L4	3589	2384	1305	980	555	691	441	259	577	233	388
NAP1L5	41	41	135	49	129	85	24	15	53	11	20
NAPA	252	203	0	6	3	1	7	4	1	3	11
NAPA-AS1	12	5	36	21	22	32	5	5	3	2	5
NAPB	431	177	101	145	78	60	61	26	55	19	33
NAPEPLD	307	162	237	152	160	132	26	8	73	16	16
NAPG	2842	1467	1399	1111	802	951	172	146	259	135	146
NAPRT	430	229	163	116	83	168	26	13	33	26	15
NAPSA	10	1	3	1	1	1	0	0	2	0	0
NARF	689	359	407	508	275	227	38	23	40	23	25
NARF-AS1	0	0	0	0	0	0	0	0	0	0	0
NARF-IT1	2	1	0	0	0	0	0	0	2	0	0
NARS2	2106	1231	1239	735	552	896	128	104	287	108	177
NASP	2008	2339	1697	973	747	920	494	390	527	350	431
NAT1	267	249	314	92	201	164	41	22	68	28	55
NAT10	1321	1236	331	240	158	210	238	192	332	193	188
NAT14	386	203	217	136	122	175	66	16	56	35	69
NAT16	0	3	0	0	0	2	0	0	0	0	0
NAT2	1	3	2	0	0	0	0	2	1	0	0
NAT8	1	0	0	0	0	0	0	0	0	0	0
NAT8L	13	5	1	1	0	0	0	0	1	0	0
NAT9	982	346	316	251	223	208	36	15	32	19	17
NATD1	84	36	78	49	40	33	14	7	14	5	3
NAV1	534	512	697	510	688	316	529	173	468	311	215
NAV2	973	276	292	257	306	435	324	179	625	186	167
NAV2-AS1	0	0	0	0	0	0	0	0	1	0	0
NAV2-AS2	6	0	0	0	0	0	0	0	0	0	0
NAV2-AS3	5	3	0	0	0	0	0	0	0	0	0
NAV2-AS4	0	0	0	0	0	0	0	0	0	0	0
NAV2-AS5	0	0	0	0	0	0	0	0	0	0	0
NAV2-IT1	0	0	0	0	0	0	0	0	0	0	0
NAV3	84	93	368	149	131	116	111	58	83	80	110
NAXD	1309	491	573	492	330	515	106	87	189	62	89
NAXE	2265	1149	1533	1360	826	867	108	75	167	81	91
NBAS	4032	1881	243	211	123	116	201	111	184	124	162
NBAT1	0	0	0	1	3	0	0	0	0	0	0
NBDY	426	139	5399	5047	3302	3548	457	344	703	319	458
NBEA	6	3	28	12	9	38	9	1	15	3	18
NBEAL1	1594	919	153	83	66	116	326	180	337	192	224
NBEAL2	492	403	62	37	45	47	41	16	22	25	17
NBL1	2898	1629	367	424	161	206	96	57	184	94	83
NBN	4806	2206	1645	986	924	1155	328	308	677	229	364
NBPF1	362	79	128	239	94	151	16	12	43	8	36
NBPF10	36	15	0	3	3	1	2	1	7	2	1
NBPF11	73	18	110	119	52	91	39	42	64	44	29
NBPF12	126	50	53	43	40	46	47	31	64	50	41
NBPF14	70	32	2	5	3	5	0	6	8	14	5
NBPF15	444	180	13	17	8	8	10	3	9	6	9
NBPF19	2	3	0	0	0	0	0	0	0	0	0
NBPF20	26	13	79	37	31	33	12	6	17	15	6
NBPF26	30	12	6	9	0	10	1	2	1	1	0
NBPF3	531	183	10	3	57	9	32	1	35	4	7
NBPF4	0	1	0	0	0	0	0	0	0	0	0
NBPF6	0	0	0	0	0	0	0	0	0	0	0
NBPF9	263	132	66	66	23	31	76	1	66	30	23
NBR1	7382	3325	2070	1614	1264	1584	311	187	538	176	238
NBR2	116	32	52	75	22	43	21	14	24	16	7
NCALD	0	0	12	6	2	1	1	2	2	3	0
NCAM1	0	0	1	5	6	3	18	2	38	13	13
NCAM1-AS1	0	0	0	0	0	0	0	0	0	0	0
NCAM2	0	0	1	2	3	1	0	1	0	0	1
NCAN	2	0	0	0	0	2	0	0	1	0	0
NCAPD2	2869	3579	1390	512	637	1051	440	329	1113	342	492
NCAPD3	1042	1190	741	273	273	362	205	144	329	152	275
NCAPG	2234	2541	163	121	99	198	221	166	312	119	317
NCAPG2	2027	1612	983	359	354	574	251	233	407	147	292
NCAPH	521	735	695	179	189	371	194	162	288	134	317
NCAPH2	867	562	261	203	105	147	24	18	18	9	17
NCBP1	3729	3166	1544	1056	708	892	272	244	507	190	277
NCBP2	4129	1852	3834	4467	2799	3157	485	326	986	351	410
NCBP2-AS1	3	1	0	0	0	0	0	0	0	0	0
NCBP2AS2	476	187	984	1328	746	914	49	26	97	48	39
NCBP2L	1	0	0	5	0	1	0	0	1	0	0
NCBP3	1566	815	573	506	286	353	234	159	361	151	245
NCCRP1	5	6	143	42	118	41	0	0	0	0	0
NCDN	353	251	275	241	147	154	82	51	101	61	63
NCEH1	562	406	1520	691	551	657	431	271	507	244	400
NCF1	0	1	0	0	0	0	0	0	0	0	0
NCF2	118	66	131	119	88	133	49	14	14	3	1
NCF4	0	0	2	0	3	0	0	0	0	0	0
NCF4-AS1	0	0	2	0	2	0	0	0	0	0	0
NCK1	1945	616	2027	1606	1192	1560	189	169	422	191	247
NCK1-DT	42	16	76	41	41	71	10	12	33	9	9
NCK2	1917	622	2387	1999	1472	1627	244	220	351	154	189
