"lako1"	"lako2"	"lako3"	"lako4"	"lako6"
"TSPAN1"	29	28	34	169	3
"POMGNT1"	42	58	78	73	4
"LURAP1"	6	8	1	9	1
"RAD54L"	3	0	0	0	0
"LRRC41"	69	109	129	156	7
"UQCRH"	853	2163	1915	2284	56
"NSUN4"	32	53	32	59	1
"FAAH"	12	21	12	33	2
"TMEM275"	0	0	0	0	0
"MKNK1"	21	35	46	69	5
"MOB3C"	10	40	33	25	0
"ATPAF1"	33	51	47	95	2
"TEX38"	0	0	0	0	0
"EFCAB14"	64	157	143	215	8
"CYP4B1"	0	2	1	0	0
"CYP4X1"	17	48	34	30	1
"CYP4Z1"	0	0	0	1	0
"CYP4A22-AS1"	0	0	0	0	0
"LINC00853"	0	1	1	0	1
"PDZK1IP1"	8	13	11	19	6
"TAL1"	0	1	0	0	0
"AL135960.1"	0	0	0	0	0
"STIL"	5	6	5	3	0
"CMPK1"	173	384	347	372	10
"LINC01389"	0	0	0	0	0
"FOXE3"	0	2	0	0	0
"FOXD2-AS1"	0	0	1	1	0
"FOXD2"	0	1	0	0	0
"TRABD2B"	0	0	2	0	0
"SLC5A9"	0	0	0	0	0
"AL109659.2"	0	0	0	0	1
"SPATA6"	39	132	96	135	5
"AGBL4"	1	1	1	1	0
"BEND5"	63	87	106	165	13
"ELAVL4"	0	0	0	0	0
"DMRTA2"	47	71	164	249	17
"AL049637.2"	12	10	42	29	0
"FAF1"	79	146	134	174	5
"AL049637.1"	0	0	0	0	0
"CDKN2C"	27	76	49	58	3
"LINC01562"	0	1	1	0	0
"RNF11"	172	380	375	391	12
"AL162430.2"	0	1	5	1	0
"TTC39A"	1	3	3	12	0
"TTC39A-AS1"	1	0	0	1	0
"EPS15"	66	112	144	157	3
"AC104170.2"	0	1	0	0	0
"AC104170.1"	0	0	0	0	0
"OSBPL9"	84	153	126	173	15
"NRDC"	92	163	155	201	12
"AL050343.2"	7	4	7	3	0
"AL050343.3"	0	1	1	0	2
"RAB3B"	3	2	3	2	0
"TXNDC12"	100	225	207	311	8
"KTI12"	10	27	32	12	1
"BTF3L4"	195	415	539	493	20
"ZFYVE9"	19	29	32	49	1
"CC2D1B"	8	11	9	25	0
"AL513218.1"	1	0	1	0	0
"AL513218.2"	2	3	4	1	0
"ORC1"	0	4	0	2	0
"PRPF38A"	136	291	239	237	8
"TUT4"	222	450	318	395	26
"GPX7"	13	30	23	52	1
"SHISAL2A"	2	2	2	5	0
"COA7"	45	66	45	39	0
"ZYG11B"	30	57	70	93	4
"ZYG11A"	2	4	2	0	0
"ECHDC2"	68	201	195	249	10
"SCP2"	174	469	439	705	25
"PODN"	3	2	0	6	0
"SLC1A7"	0	0	0	0	0
"AL445183.2"	0	0	0	0	0
"CPT2"	8	14	20	26	1
"AL606760.2"	3	0	0	1	0
"CZIB"	47	112	84	115	4
"AL606760.3"	1	5	1	3	0
"MAGOH"	210	465	423	541	23
"AL606760.1"	3	7	5	5	1
"LRP8"	2	1	1	13	0
"LINC01771"	0	0	0	0	0
"GLIS1"	9	12	18	12	0
"NDC1"	5	16	25	40	0
"YIPF1"	27	37	42	72	2
"HSPB11"	139	391	320	531	15
"LRRC42"	63	174	127	133	10
"LDLRAD1"	1	1	0	0	0
"TMEM59"	711	1662	1461	2120	80
"TCEANC2"	9	8	10	13	2
"CYB5RL"	1	3	4	4	0
"MRPL37"	46	102	85	138	6
"SSBP3"	40	163	172	233	3
"SSBP3-AS1"	0	0	0	1	0
"AC099796.2"	0	0	0	0	0
"ACOT11"	20	24	45	39	2
"MROH7"	1	3	8	8	0
"TTC4"	31	38	34	58	2
"PARS2"	1	4	5	3	1
"TTC22"	6	14	8	29	2
"LEXM"	0	0	0	0	0
"DHCR24"	24	60	36	85	3
"AC096536.2"	0	0	0	0	0
"DHCR24-DT"	0	0	0	1	0
"AL590440.2"	0	0	2	0	0
"TMEM61"	5	11	17	8	1
"PCSK9"	0	0	1	0	0
"USP24"	19	39	40	35	4
"AL603840.1"	0	0	1	0	0
"AC119674.1"	0	2	6	1	0
"LINC01767"	0	0	0	0	0
"PLPP3"	50	79	26	103	6
"PRKAA2"	13	20	35	38	2
"FYB2"	0	0	1	0	0
"C8A"	1	0	0	0	0
"C8B"	0	0	0	0	0
"DAB1"	5	8	5	3	0
"DAB1-AS1"	0	0	0	0	0
"OMA1"	23	74	50	45	3
"AL035411.3"	0	0	0	0	0
"TACSTD2"	4757	11688	11417	12954	264
"MYSM1"	76	147	207	185	5
"AL136985.3"	1	0	4	1	0
"JUN"	8544	12391	7168	27178	377
"LINC01135"	6	16	12	25	2
"AL136985.2"	0	0	0	1	0
"LINC02777"	3	2	2	6	0
"LINC01358"	0	1	0	0	0
"AC093425.1"	0	1	3	1	0
"AC093424.1"	0	0	0	0	0
"FGGY"	46	117	117	173	1
"HOOK1"	49	81	77	85	4
"CYP2J2"	1	0	0	0	0
"C1orf87"	0	0	0	0	0
"LINC01748"	0	1	0	2	0
"AC099792.1"	0	0	0	0	0
"NFIA"	94	314	427	527	28
"NFIA-AS2"	0	0	0	0	0
"NFIA-AS1"	0	0	0	0	0
"AC099791.4"	0	0	1	1	0
"TM2D1"	110	233	256	338	6
"AC099791.2"	4	14	10	21	0
"PATJ"	85	169	194	170	6
"L1TD1"	0	3	9	2	0
"KANK4"	10	1	2	1	0
"USP1"	70	176	147	175	12
"DOCK7"	32	65	91	86	6
"ANGPTL3"	0	0	0	0	0
"AC103923.1"	1	2	3	0	0
"ATG4C"	15	27	24	31	1
"FOXD3-AS1"	0	1	0	4	0
"FOXD3"	2	0	0	3	0
"ALG6"	14	27	35	49	2
"ITGB3BP"	43	112	167	210	8
"EFCAB7"	9	18	24	21	3
"DLEU2L"	4	2	4	3	0
"PGM1"	35	74	55	115	5
"ROR1"	2	0	1	4	0
"ROR1-AS1"	0	1	0	0	0
"AL445205.1"	0	0	0	0	0
"CACHD1"	29	70	96	75	3
"RAVER2"	10	15	25	34	2
"JAK1"	215	427	418	459	13
"LINC01359"	1	2	5	2	0
"AL357078.2"	0	0	0	0	0
"AK4"	48	49	80	94	4
"DNAJC6"	1	1	3	2	0
"LEPROT"	130	201	213	408	21
"LEPR"	11	7	5	31	3
"AC119800.1"	0	0	0	1	0
"PDE4B"	69	25	64	89	2
"SGIP1"	1	0	0	0	0
"AL139147.1"	0	0	1	0	0
"TCTEX1D1"	0	0	0	0	0
"WDR78"	6	7	5	6	0
"MIER1"	103	227	213	249	14
"SLC35D1"	7	18	18	35	3
"C1orf141"	0	0	0	0	0
"AL133320.2"	0	1	0	1	0
"IL23R"	0	0	0	0	0
"IL12RB2"	2	1	0	2	0
"SERBP1"	998	1673	1723	1803	89
"GADD45A"	710	1082	1574	763	30
"GNG12"	136	313	385	366	18
"GNG12-AS1"	3	12	15	21	0
"DIRAS3"	9	5	30	30	0
"WLS"	82	264	203	331	18
"DEPDC1"	0	0	0	4	0
"AL033530.1"	2	0	0	0	0
"LRRC7"	0	4	4	3	0
"LRRC40"	16	51	64	42	5
"SRSF11"	510	900	946	1036	31
"AL353771.1"	0	0	0	0	0
"ANKRD13C"	26	31	37	45	3
"HHLA3"	19	46	22	34	1
"CTH"	7	26	31	13	1
"AL354872.2"	2	0	2	1	0
"PTGER3"	1	0	4	12	0
"ZRANB2-AS1"	1	0	1	2	0
"ZRANB2"	251	384	329	404	19
"ZRANB2-AS2"	4	4	4	7	0
"NEGR1"	0	1	0	5	0
"AL513166.1"	1	3	2	1	0
"AL583808.1"	0	3	1	0	0
"LRRIQ3"	2	6	4	5	1
"FPGT"	10	26	16	25	3
"TNNI3K"	0	12	11	10	0
"ERICH3"	0	1	0	0	0
"ERICH3-AS1"	0	0	0	0	0
"AC135803.1"	0	1	3	1	0
"CRYZ"	25	36	87	104	3
"TYW3"	80	184	135	244	10
"SLC44A5"	2	0	5	9	0
"ACADM"	65	106	121	136	7
"RABGGTB"	156	224	260	338	10
"ST6GALNAC3"	1	3	2	11	0
"LINC02567"	0	0	0	0	0
"ST6GALNAC5"	7	2	5	10	0
"AL035409.1"	1	0	0	0	0
"PIGK"	21	47	38	82	3
"AK5"	0	0	1	0	0
"AC118549.1"	56	82	97	96	5
"USP33"	56	93	102	144	8
"MIGA1"	34	105	74	108	8
"NEXN-AS1"	0	1	0	0	0
"NEXN"	2	3	3	0	0
"FUBP1"	189	325	283	222	4
"DNAJB4"	239	367	256	791	13
"GIPC2"	3	2	0	3	0
"AC103591.3"	11	54	81	82	24
"AC103591.4"	0	0	0	0	0
"PTGFR"	1	0	0	0	0
"IFI44L"	4	6	10	59	0
"IFI44"	9	19	17	43	3
"ADGRL4"	0	0	0	3	0
"ADGRL2"	23	54	59	84	5
"AC117944.1"	0	1	0	0	0
"AL157944.1"	0	0	0	0	0
"LINC01361"	2	0	2	0	1
"LINC01725"	7	45	34	29	2
"AL035706.1"	0	0	0	0	0
"TTLL7"	3	3	6	4	0
"TTLL7-IT1"	0	0	0	0	0
"AL359504.2"	8	4	4	10	0
"PRKACB"	13	22	25	43	3
"SAMD13"	1	2	1	6	0
"RPF1"	63	104	110	150	6
"GNG5"	469	676	686	861	43
"SPATA1"	4	16	3	13	1
"CTBS"	38	90	89	148	5
"AL359762.1"	0	0	0	0	0
"SSX2IP"	37	70	74	93	2
"LPAR3"	29	61	79	123	4
"MCOLN2"	0	0	1	3	0
"WDR63"	1	4	9	6	0
"MCOLN3"	12	14	9	19	0
"SYDE2"	8	13	16	9	0
"C1orf52"	127	233	276	251	6
"BCL10"	215	306	468	317	4
"AL078459.1"	8	18	42	11	1
"DDAH1"	1	2	0	4	1
"AL360219.1"	0	0	0	0	0
"AC092807.3"	0	0	0	1	0
"AC092807.2"	0	0	0	0	0
"CCN1"	244	687	631	719	20
"ZNHIT6"	38	84	83	80	6
"COL24A1"	1	1	0	0	0
"LINC02795"	0	0	0	0	0
"ODF2L"	45	96	77	158	10
"CLCA2"	75	43	101	329	15
"CLCA4"	17	12	32	36	1
"CLCA4-AS1"	0	0	0	1	0
"AL049597.2"	2	7	5	5	0
"SH3GLB1"	172	330	264	441	22
"SELENOF"	232	504	404	686	23
"HS2ST1"	19	46	48	62	2
"LINC01140"	1	2	0	2	0
"LINC02801"	0	0	0	0	0
"LMO4"	246	662	745	1125	39
"PKN2-AS1"	0	3	3	2	0
"PKN2"	129	215	218	313	16
"GTF2B"	245	500	625	582	16
"KYAT3"	46	92	116	106	4
"RBMXL1"	49	88	86	89	4
"GBP3"	23	56	57	78	8
"GBP1"	70	251	228	338	5
"GBP2"	46	131	138	188	9
"GBP7"	0	0	0	3	0
"GBP4"	4	13	21	74	1
"AC099063.4"	0	1	3	3	0
"GBP5"	0	2	2	1	0
"GBP6"	0	6	3	0	1
"LRRC8B"	37	60	84	110	1
"LRRC8C-DT"	9	13	8	12	0
"LRRC8C"	21	9	43	14	4
"AC099568.1"	0	0	0	0	0
"AC099568.2"	3	2	1	4	0
"LRRC8D"	37	65	80	92	6
"ZNF326"	267	431	344	557	15
"AL161797.1"	0	0	1	0	0
"LINC02609"	2	11	5	9	1
"LINC01763"	0	0	0	0	0
"ZNF644"	196	520	499	549	13
"HFM1"	0	0	3	1	0
"CDC7"	2	10	4	11	1
"TGFBR3"	31	111	167	101	3
"BRDT"	0	0	0	0	0
"EPHX4"	1	0	0	1	0
"BTBD8"	3	10	8	16	2
"AC104836.1"	1	0	0	0	0
"GLMN"	12	32	30	36	3
"RPAP2"	49	95	66	133	7
"EVI5"	49	83	79	111	0
"RPL5"	7841	18639	15986	16067	361
"DIPK1A"	17	16	21	18	1
"MTF2"	65	138	131	163	12
"TMED5"	105	198	206	222	4
"CCDC18"	6	5	7	11	0
"CCDC18-AS1"	40	115	95	125	2
"DR1"	80	184	203	175	12
"FNBP1L"	77	119	131	159	6
"BCAR3"	54	66	90	44	1
"AL109613.1"	0	1	0	1	0
"AL049796.1"	0	1	0	3	0
"DNTTIP2"	220	385	296	256	5
"GCLM"	73	177	184	153	4
"ABCA4"	0	0	0	0	0
"ARHGAP29"	19	31	57	23	0
"ARHGAP29-AS1"	0	0	8	0	0
"AC118469.2"	0	1	0	1	0
"ABCD3"	40	81	136	149	7
"F3"	561	3185	4530	476	8
"SLC44A3"	34	19	47	25	0
"CNN3"	137	214	295	219	8
"AC105942.1"	3	8	4	5	0
"ALG14"	14	38	35	72	4
"AC095033.1"	0	0	0	0	0
"TLCD4"	5	2	2	1	0
"AC092802.1"	3	5	2	3	0
"RWDD3"	22	63	50	145	7
"AC092802.4"	1	0	0	0	0
"AL683887.1"	1	0	0	0	0
"PTBP2"	42	82	82	77	3
"DPYD"	20	62	62	83	2
"SNX7"	37	45	60	64	4
"PLPPR5"	0	0	0	0	0
"PLPPR4"	2	3	1	3	0
"PALMD"	47	174	134	107	12
"FRRS1"	16	30	15	32	3
"AGL"	55	91	118	160	3
"AC118553.1"	6	3	7	6	2
"SLC35A3"	62	83	93	126	8
"MFSD14A"	66	156	172	149	11
"SASS6"	7	11	13	28	1
"TRMT13"	31	73	74	83	2
"LRRC39"	0	0	2	3	1
"DBT"	39	49	38	70	2
"AL445928.2"	0	0	2	0	0
"RTCA-AS1"	24	23	16	29	1
"RTCA"	40	70	66	68	2
"CDC14A"	7	12	16	28	1
"GPR88"	0	0	0	0	0
"VCAM1"	0	2	0	0	0
"EXTL2"	18	58	41	67	5
"AC104506.1"	17	39	19	49	0
"SLC30A7"	46	70	121	117	4
"DPH5"	32	85	63	97	2
"AC093157.2"	0	0	2	0	0
"AC093157.1"	11	19	10	33	0
"AL109741.1"	0	1	3	0	0
"S1PR1"	1	1	5	7	0
"LINC01307"	0	0	0	1	0
"OLFM3"	0	0	0	0	0
"COL11A1"	0	1	0	0	0
"AC095032.1"	0	0	0	1	0
"RNPC3"	52	91	95	128	12
"AMY2B"	3	3	13	11	0
"PRMT6"	11	15	28	39	0
"NTNG1"	96	157	123	195	8
"VAV3"	116	256	202	484	37
"VAV3-AS1"	0	1	0	0	0
"LINC02785"	0	0	0	0	0
"SLC25A24"	30	75	64	65	5
"AL359258.2"	1	2	0	18	0
"FAM102B"	4	19	9	24	1
"HENMT1"	6	2	4	1	0
"AL160171.1"	0	0	0	0	0
"PRPF38B"	301	531	508	569	19
"STXBP3"	81	187	169	194	13
"AKNAD1"	9	22	7	11	1
"GPSM2"	61	201	137	128	17
"CLCC1"	25	57	38	38	6
"WDR47"	21	61	68	64	0
"TAF13"	57	65	107	91	5
"AL356488.3"	6	23	12	20	1
"TMEM167B"	76	144	114	158	6
"AL356488.2"	0	0	1	1	0
"KIAA1324"	1	0	2	3	0
"SARS"	212	500	454	500	13
"CELSR2"	23	38	47	52	2
"PSRC1"	0	1	1	1	0
"MYBPHL"	0	0	0	0	0
"SORT1"	3	3	2	5	0
"PSMA5"	166	315	235	363	13
"SYPL2"	0	0	0	0	0
"ATXN7L2"	6	8	3	1	0
"CYB561D1"	0	5	4	8	0
"AMIGO1"	2	3	4	2	0
"GPR61"	0	0	0	1	0
"GNAI3"	324	526	477	744	21
"AL355310.1"	0	0	0	0	0
"GNAT2"	0	0	0	0	0
"AMPD2"	11	15	27	17	3
"GSTM4"	13	60	58	64	1
"GSTM2"	17	39	30	29	2
"AC000032.1"	0	3	2	0	0
"GSTM5"	2	3	1	1	0
"GSTM3"	69	178	144	85	4
"CSF1"	8	5	7	18	2
"AHCYL1"	107	308	356	413	16
"STRIP1"	16	35	34	42	1
"AL160006.1"	5	2	5	6	0
"ALX3"	0	0	0	1	0
"UBL4B"	0	0	0	0	0
"SLC6A17"	5	3	1	7	0
"LINC02586"	1	1	0	0	0
"KCNC4"	14	20	21	23	1
"RBM15-AS1"	2	0	1	1	0
"RBM15"	23	50	76	50	4
"LAMTOR5-AS1"	4	3	1	9	0
"SLC16A4"	9	17	30	35	0
"AL355488.1"	6	10	7	11	0
"LAMTOR5"	388	693	591	914	25
"KCNA2"	0	0	0	0	0
"AL365361.1"	0	0	0	1	0
"KCNA3"	0	0	0	0	0
"CD53"	1	0	0	1	0
"AL360270.2"	2	3	2	6	0
"AL360270.1"	1	0	2	0	0
"LRIF1"	52	86	114	140	4
"AL360270.3"	0	0	1	4	0
"DRAM2"	36	74	92	168	4
"CEPT1"	22	53	58	41	3
"AL355816.1"	0	0	0	0	0
"AL355816.2"	2	9	11	4	0
"DENND2D"	11	14	15	17	2
"CHI3L2"	7	0	0	26	0
"PIFO"	4	7	14	8	0
"OVGP1"	1	6	9	13	0
"AL390195.2"	3	6	3	11	0
"AL390195.1"	1	2	0	1	0
"WDR77"	16	18	39	26	1
"ATP5PB"	215	494	429	588	28
"C1orf162"	7	0	7	7	0
"TMIGD3"	0	0	0	0	0
"ADORA3"	0	0	1	1	0
"RAP1A"	78	198	233	210	9
"LINC01160"	0	0	0	0	0
"INKA2"	10	30	18	24	4
"INKA2-AS1"	1	2	1	4	0
"AL049557.1"	0	0	1	0	0
"DDX20"	26	38	51	32	2
"KCND3"	4	4	6	11	1
"LINC01750"	1	2	0	0	0
"AL445426.1"	4	5	1	3	0
"CTTNBP2NL"	79	140	143	138	4
"WNT2B"	16	32	43	22	0
"AL354760.1"	0	1	2	0	0
"ST7L"	51	109	70	80	0
"CAPZA1"	103	241	361	298	7
"MOV10"	9	24	34	40	4
"AL603832.1"	0	1	2	1	0
"RHOC"	271	543	612	706	25
"PPM1J"	10	11	25	11	1
"AL603832.2"	0	0	1	0	0
"TAFA3"	0	1	1	0	0
"LINC01357"	0	0	0	0	0
"SLC16A1"	51	25	41	47	3
"SLC16A1-AS1"	5	12	11	11	0
"LRIG2-DT"	0	2	1	1	0
"LRIG2"	21	47	25	52	2
"MAGI3"	38	73	108	84	2
"PHTF1"	5	18	18	8	1
"RSBN1"	101	221	219	238	7
"AL137856.1"	0	0	0	0	0
"PTPN22"	0	0	1	1	0
"AP4B1-AS1"	0	4	1	1	0
"BCL2L15"	4	6	3	9	0
"AP4B1"	13	16	22	24	0
"DCLRE1B"	2	9	10	6	3
"HIPK1-AS1"	2	4	2	3	0
"HIPK1"	68	147	158	161	4
"OLFML3"	12	6	3	18	0
"TRIM33"	102	145	233	241	8
"BCAS2"	360	812	582	724	41
"DENND2C"	517	743	1558	1116	17
"AMPD1"	0	0	0	0	0
"NRAS"	51	140	119	143	2
"CSDE1"	535	1240	1237	1302	46
"SIKE1"	51	114	97	116	6
"SYCP1"	0	0	0	0	0
"TSPAN2"	6	24	25	13	1
"NGF"	0	0	0	0	0
"VANGL1"	5	23	24	17	2
"CASQ2"	0	0	0	0	0
"NHLH2"	0	1	0	0	0
"SLC22A15"	7	4	7	6	0
"MAB21L3"	0	7	2	4	0
"LINC01779"	0	0	0	0	0
"ATP1A1"	880	1315	1408	1917	62
"ATP1A1-AS1"	28	65	32	30	7
"LINC01762"	0	0	0	0	0
"AL390066.1"	0	0	2	1	0
"CD58"	45	48	72	103	5
"IGSF3"	17	86	88	115	6
"CD2"	0	0	0	0	2
"AL157904.1"	1	2	2	3	0
"PTGFRN"	63	146	167	193	16
"CD101"	1	2	2	7	0
"AL445231.1"	0	0	0	2	0
"TTF2"	27	46	49	57	5
"TRIM45"	2	9	5	8	2
"VTCN1"	0	0	1	0	0
"AL358072.1"	0	0	1	2	0
"MAN1A2"	85	151	122	207	10
"TENT5C"	20	72	57	97	2
"GDAP2"	9	27	24	37	2
"WDR3"	39	38	56	43	3
"SPAG17"	0	0	1	0	0
"TBX15"	0	0	0	0	0
"WARS2"	32	48	33	55	2
"WARS2-IT1"	0	0	0	0	0
"WARS2-AS1"	5	8	8	13	0
"AL359915.1"	0	1	0	0	0
"LINC01780"	0	0	0	0	0
"LINC00622"	0	1	0	1	0
"ZNF697"	1	4	5	5	0
"PHGDH"	97	220	179	155	12
"HMGCS2"	0	1	1	0	0
"ADAM30"	1	0	1	0	0
"NOTCH2"	35	92	138	118	5
"AC245008.1"	0	0	1	0	0
"SEC22B"	58	102	135	144	8
"AC253572.1"	1	1	3	6	0
"NBPF26"	4	12	12	13	1
"AC253572.2"	2	8	10	20	0
"LINC00623"	28	111	94	103	8
"FCGR1B"	0	0	1	0	0
"AC244453.2"	0	0	0	1	0
"FAM72B"	0	0	1	0	0
"SRGAP2C"	20	75	75	91	1
"LINC02798"	0	0	2	0	0
"AL592494.2"	1	0	0	0	0
"AC239800.2"	0	1	0	0	0
"LINC02591"	6	17	13	14	2
"HIST2H3PS2"	4	9	9	11	0
"FAM72C"	0	0	0	1	0
"LINC02802"	7	36	19	34	1
"AC246785.3"	0	3	3	1	0
"NBPF15"	5	5	4	5	0
"FP700111.1"	0	0	0	0	0
"SRGAP2B"	21	49	38	44	2
"FAM72D"	1	1	0	0	0
"AC245014.3"	0	2	2	9	3
"AC245014.1"	0	3	1	0	1
"NBPF20"	2	7	6	3	0
"GPR89A"	12	31	34	25	4
"PDZK1"	1	3	2	1	0
"CD160"	1	0	3	1	0
"RNF115"	82	160	138	178	15
"POLR3C"	21	41	36	33	2
"NUDT17"	3	2	7	6	0
"PIAS3"	21	43	41	62	2
"ANKRD35"	1	1	0	1	0
"ITGA10"	5	3	7	4	0
"PEX11B"	20	28	33	60	1
"RBM8A"	679	1477	1289	1460	34
"LIX1L-AS1"	3	8	5	9	0
"LIX1L"	17	41	33	44	1
"ANKRD34A"	0	1	6	3	0
"POLR3GL"	68	133	105	182	6
"TXNIP"	1582	5871	4683	7799	145
"AC239799.2"	3	13	17	39	1
"LINC01719"	0	4	2	5	0
"NBPF10"	0	3	13	1	0
"NOTCH2NLA"	14	26	20	27	0
"AC239799.1"	2	1	3	0	0
"AC245407.2"	34	112	42	103	0
"NBPF12"	10	22	28	18	2
"PRKAB2"	44	36	47	63	1
"AC242426.2"	3	9	3	8	1
"FMO5"	4	9	7	8	0
"CHD1L"	2	6	7	6	0
"LINC00624"	0	0	0	0	0
"BCL9"	13	34	34	51	1
"ACP6"	9	13	13	45	1
"GJA5"	0	0	0	0	0
"GJA8"	0	0	0	0	0
"GPR89B"	8	22	25	29	0
"AC239803.1"	1	1	0	1	0
"LINC02804"	0	1	1	3	0
"NBPF11"	15	40	58	60	2
"LINC02805"	0	3	3	3	0
"AC239809.3"	42	389	125	142	2
"LINC01731"	1	6	31	49	2
"LINC01138"	15	37	28	36	3
"LINC02806"	0	0	0	0	0
"AC245100.1"	0	1	1	3	0
"AC245100.6"	0	0	0	0	0
"PPIAL4G"	1	2	2	0	0
"NBPF14"	5	4	11	4	1
"NUDT4B"	0	1	1	0	0
"PDE4DIP"	24	57	46	84	0
"NBPF9"	14	22	34	47	4
"AC245297.3"	68	140	202	248	10
"AC245297.2"	1	3	10	11	0
"NOTCH2NLC"	15	15	22	14	0
"NBPF19"	5	39	26	9	0
"AC242842.1"	0	0	0	0	0
"FCGR1A"	0	0	0	1	0
"HIST2H2BF"	16	61	25	30	2
"AC243772.2"	0	0	1	2	0
"HIST2H3D"	2	1	1	1	0
"HIST2H4A"	0	6	2	1	0
"HIST2H2AA3"	0	0	0	1	0
"HIST2H2AA4"	83	1242	58	95	6
"HIST2H4B"	3	14	9	2	0
"AC239868.1"	0	5	8	3	0
"HIST2H2BE"	37	87	37	60	0
"HIST2H2AC"	89	159	87	137	2
"HIST2H2AB"	4	28	5	13	0
"BOLA1"	24	46	28	55	5
"SV2A"	22	27	21	26	0
"SF3B4"	105	209	170	175	6
"MTMR11"	9	26	23	23	4
"OTUD7B"	24	78	85	113	5
"AC244033.2"	14	34	27	33	1
"VPS45"	12	39	34	53	3
"PLEKHO1"	41	274	312	197	4
"ANP32E"	89	248	244	247	8
"CA14"	0	4	4	3	1
"APH1A"	151	270	234	357	14
"C1orf54"	12	8	13	14	0
"CIART"	28	46	58	43	0
"MRPS21"	224	497	455	698	23
"PRPF3"	41	80	61	86	5
"RPRD2"	41	96	102	110	11
"TARS2"	9	13	11	32	1
"ECM1"	45	26	22	49	5
"FALEC"	0	0	1	2	0
"AL356356.1"	0	0	0	0	0
"ADAMTSL4"	5	5	9	39	1
"ADAMTSL4-AS1"	6	13	13	37	1
"MCL1"	1158	2167	2335	2487	97
"ENSA"	261	602	496	622	30
"GOLPH3L"	13	47	48	46	3
"HORMAD1"	0	0	22	26	0
"CTSS"	39	84	107	161	7
"CTSK"	14	38	16	84	2
"ARNT"	23	55	68	63	3
"SETDB1"	20	46	50	46	0
"CERS2"	91	126	110	130	5
"ANXA9"	0	0	0	1	0
"MINDY1"	7	26	14	16	4
"PRUNE1"	7	28	36	45	1
"BNIPL"	16	27	30	36	2
"C1orf56"	33	126	222	174	7
"CDC42SE1"	85	201	257	285	13
"MLLT11"	5	13	15	20	0
"GABPB2"	22	52	40	54	3
"AL592424.1"	0	2	1	0	0
"SEMA6C"	11	11	22	17	3
"TNFAIP8L2"	0	0	0	0	0
"SCNM1"	33	92	67	118	2
"LYSMD1"	4	9	21	8	2
"VPS72"	47	102	92	113	5
"PIP5K1A"	71	172	171	151	4
"PSMD4"	126	298	228	333	11
"ZNF687-AS1"	8	8	5	10	1
"ZNF687"	7	22	14	24	5
"PI4KB"	45	80	81	98	9
"AL391069.3"	0	1	1	0	0
"RFX5"	13	37	44	34	3
"AL391069.2"	0	3	5	7	0
"SELENBP1"	23	61	37	44	2
"PSMB4"	251	586	488	652	21
"POGZ"	91	257	191	215	9
"CGN"	0	3	4	5	0
"TUFT1"	55	179	126	231	5
"AL365436.2"	7	12	7	26	2
"SNX27"	33	85	75	117	6
"AL391335.1"	1	1	0	0	0
"CELF3"	0	0	0	0	0
"RIIAD1"	0	0	0	0	0
"MRPL9"	85	167	109	159	5
"OAZ3"	6	4	2	7	0
"TDRKH"	3	1	2	3	0
"TDRKH-AS1"	1	3	0	1	0
"AL589765.6"	0	0	0	0	0
"LINGO4"	0	0	0	0	0
"RORC"	6	10	10	13	0
"C2CD4D"	3	3	5	5	0
"THEM4"	19	36	42	59	3
"AL450992.2"	0	0	2	1	0
"S100A10"	4607	8318	6204	8861	275
"AL450992.1"	2	1	3	1	0
"S100A11"	7790	11924	15417	13777	421
"TCHH"	1	8	8	11	0
"FLG-AS1"	0	6	0	5	0
"AL589986.2"	0	3	2	3	0
"HRNR"	0	1	0	0	0
"FLG"	1	0	1	1	0
"FLG2"	0	0	1	1	0
"CRNN"	0	0	0	0	0
"LCE2D"	0	0	0	0	0
"KPRP"	0	1	0	4	0
"IVL"	2	2	4	11	0
"LINC01527"	0	0	0	0	0
"SPRR5"	0	0	0	0	0
"SPRR4"	0	0	0	0	0
"SPRR1A"	1	0	3	0	0
"SPRR3"	1	2	26	3	0
"SPRR1B"	20	3	178	14	0
"SPRR2D"	2	8	49	2	0
"SPRR2A"	70	60	304	35	0
"SPRR2B"	0	0	0	0	0
"SPRR2E"	0	2	0	0	0
"SPRR2F"	0	0	6	2	0
"SPRR2G"	0	0	0	0	0
"LOR"	0	0	0	3	0
"PGLYRP3"	1	0	0	0	0
"PGLYRP4"	1	4	1	2	3
"S100A9"	353	156	78	2329	285
"S100A12"	1	0	1	1	0
"S100A8"	395	42	65	2455	404
"S100A7"	0	0	2	1	0
"BX470102.1"	2	0	1	3	0
"S100A6"	14885	23800	23462	40990	1043
"S100A5"	1	3	5	11	0
"S100A4"	3569	3941	3632	13440	86
"S100A3"	32	44	44	33	1
"S100A2"	27305	29949	33259	23306	863
"BX470102.2"	9	10	17	15	0
"S100A16"	806	1101	1443	1197	37
"S100A14"	823	855	911	1167	23
"S100A13"	305	599	478	706	27
"S100A1"	2	2	16	22	0
"AL162258.2"	4	6	9	11	1
"CHTOP"	102	186	156	166	8
"SNAPIN"	48	101	82	113	6
"ILF2"	335	570	579	424	20
"NPR1"	1	0	3	1	0
"INTS3"	26	52	55	40	10
"SLC27A3"	25	41	45	44	3
"GATAD2B"	48	100	107	113	2
"AL358472.5"	1	5	2	3	0
