	LSC159	LSC177	LSCabb1	LSCabb2	PKC19
CDC34	85	20	46	28	72
BSG	177	94	52	171	62
POLRMT	22	7	14	21	31
RNF126	75	69	52	82	93
FSTL3	101	79	17	99	59
MISP	50	68	15	53	26
PTBP1	825	855	364	943	535
CFD	0	1	0	1	5
MED16	23	9	2	8	4
R3HDM4	53	55	29	119	86
KISS1R	1	0	0	0	0
ARID3A	67	39	17	84	22
WDR18	69	141	46	115	87
GRIN3B	0	0	0	0	1
TMEM259	6	10	8	11	8
CNN2	803	484	276	703	280
ABCA7	5	1	1	1	3
HMHA1	0	0	2	2	3
POLR2E	260	143	126	186	233
GPX4	52	33	36	54	76
SBNO2	88	70	17	67	45
STK11	38	17	14	41	26
C19orf26	1	1	0	1	0
ATP5D	21	30	14	54	28
MIDN	331	289	141	298	183
CIRBP	9	1	2	2	3
C19orf24	23	13	10	9	25
EFNA2	7	11	32	10	8
MUM1	33	28	18	43	33
NDUFS7	42	28	48	37	102
GAMT	13	6	2	6	9
DAZAP1	399	365	238	460	245
RPS15	3071	1527	1971	2072	4222
APC2	0	1	1	0	0
C19orf25	3	2	0	4	1
PCSK4	0	1	0	2	0
REEP6	1	0	0	1	0
ADAMTSL5	44	18	11	29	31
MEX3D	113	129	77	130	92
MBD3	11	5	1	9	16
UQCR11	145	112	85	104	143
TCF3	44	20	12	7	38
ATP8B3	0	0	0	2	0
REXO1	29	11	11	24	20
KLF16	52	16	13	29	16
ABHD17A	0	0	2	0	1
SCAMP4	39	10	9	17	20
CSNK1G2	142	57	54	116	111
BTBD2	51	15	3	16	24
MKNK2	213	119	340	301	402
MOB3A	55	33	19	53	22
AP3D1	449	292	230	350	313
DOT1L	10	2	7	13	4
PLEKHJ1	1	0	0	0	0
SF3A2	59	20	6	20	20
AMH	0	1	0	1	0
OAZ1	2895	2384	1807	3814	2493
C19orf35	0	2	1	2	0
LSM7	85	39	65	54	98
SPPL2B	9	1	5	11	2
TIMM13	122	116	50	130	157
LMNB2	163	151	109	171	173
GADD45B	44	32	24	58	47
GNG7	0	1	0	0	1
DIRAS1	1	0	0	0	0
SLC39A3	9	5	4	14	12
SGTA	18	15	6	29	6
THOP1	46	27	12	33	43
ZNF554	4	1	1	4	7
ZNF555	14	8	7	8	13
ZNF57	0	0	0	1	0
ZNF77	3	1	0	2	0
TLE6	1	0	0	0	0
TLE2	3	1	0	0	0
AES	405	242	111	376	152
GNA11	335	169	139	203	287
GNA15	98	58	47	69	87
NCLN	130	48	21	70	37
NFIC	685	468	273	625	750
C19orf77	0	0	0	2	0
DOHH	4	3	1	2	4
FZR1	13	9	3	19	4
HMG20B	69	43	31	81	59
TBXA2R	5	3	0	3	1
CACTIN	0	0	0	1	0
PIP5K1C	43	29	8	39	12
APBA3	10	4	7	15	11
MRPL54	22	12	7	23	10
RAX2	0	0	0	1	0
DAPK3	5	0	5	0	4
EEF2	1223	1199	592	1565	1177
PIAS4	72	23	12	4	21
ZBTB7A	171	129	126	150	194
MAP2K2	102	41	35	39	85
SIRT6	9	4	2	6	4
CCDC94	29	20	6	19	17
FSD1	4	1	0	3	0
STAP2	17	15	2	13	9
MPND	6	3	2	3	1
SH3GL1	132	130	56	177	59
CHAF1A	61	58	11	38	36
UBXN6	100	41	19	42	46
HDGFRP2	99	26	35	56	30
PLIN4	1	0	1	5	0
LRG1	1	0	1	0	2
SEMA6B	0	0	0	0	0
TNFAIP8L1	44	41	15	43	79
C19orf10	266	167	126	183	244
DPP9	162	125	90	122	151
FEM1A	45	35	21	30	43
TICAM1	90	64	26	63	64
PLIN3	215	144	94	139	171
UHRF1	163	174	89	165	93
KDM4B	82	31	30	88	38
PTPRS	17	13	13	38	54
TINCR	3	6	2	12	147
SAFB2	115	86	43	75	75
SAFB	205	166	123	214	187
C19orf70	35	10	1	5	4
HSD11B1L	5	6	3	9	9
RPL36	444	430	161	400	242
LONP1	16	12	7	14	7
PRR22	0	0	0	0	0
DUS3L	7	8	1	4	6
NRTN	0	0	0	0	0
FUT3	2	1	0	3	0
NDUFA11	139	75	21	69	46
VMAC	9	2	1	1	1
CAPS	1	1	1	1	0
RANBP3	58	24	27	32	29
LOC100128568	1	0	0	0	0
RFX2	0	1	0	0	0
ACSBG2	2	0	0	0	0
MLLT1	116	84	54	72	79
CLPP	57	32	31	43	48
ALKBH7	27	10	13	37	40
GTF2F1	77	94	35	99	55
KHSRP	727	620	338	716	411
SLC25A23	103	69	35	91	62
CRB3	9	2	3	6	5
DENND1C	0	0	0	2	1
TUBB4A	0	1	0	1	0
TNFSF9	144	86	49	151	86
CD70	1	0	0	0	0
TNFSF14	0	0	0	1	0
C3	13	1	5	6	0
GPR108	96	42	12	78	56
TRIP10	187	140	53	199	102
SH2D3A	37	20	17	25	27
VAV1	0	0	0	1	0
ZNF557	36	43	25	50	20
INSR	26	24	17	19	77
ARHGEF18	83	65	40	83	75
PEX11G	2	0	0	1	1
ZNF358	17	8	1	10	11
MCOLN1	9	6	2	5	5
PNPLA6	42	26	5	30	16
CAMSAP3	1	3	0	2	9
XAB2	0	2	0	0	1
PET100	141	69	26	63	63
STXBP2	14	12	6	28	15
TRAPPC5	60	37	27	62	103
CD209	0	0	0	0	1
EVI5L	23	7	4	22	17
FLJ22184	0	1	0	0	0
LOC388499	1	0	0	0	1
LRRC8E	28	9	13	13	39
MAP2K7	83	33	18	43	43
TGFBR3L	2	3	1	1	6
SNAPC2	83	51	23	96	79
CTXN1	6	10	1	11	28
TIMM44	25	19	15	23	21
ELAVL1	556	578	472	775	485
CERS4	2	0	1	2	16
CD320	8	5	2	5	2
NDUFA7	322	300	104	342	168
RPS28	2439	431	604	501	950
KANK3	1	0	2	0	0
ANGPTL4	4	3	2	3	1
RAB11B-AS1	5	5	4	8	8
RAB11B	285	245	63	327	186
MARCH2	15	14	3	15	14
HNRNPM	1285	1356	732	1528	765
ZNF414	5	5	1	3	13
MYO1F	1	1	0	0	2
ZNF558	26	10	11	13	11
OR7G2	0	0	0	1	0
ZNF317	50	47	32	65	57
OR7D2	0	3	0	0	0
OR7E24	1	1	0	0	0
ZNF699	10	7	11	13	8
ZNF559	0	0	0	0	0
ZNF266	22	15	9	20	18
ZNF560	0	0	0	0	0
ZNF426	17	12	5	17	7
LOC101928238	2	0	0	3	1
ZNF121	41	10	10	12	11
ZNF561	93	96	99	131	73
C19orf82	31	18	18	30	20
ZNF562	62	52	31	69	23
ZNF812	0	0	1	0	0
ZNF846	1	2	3	3	5
LOC100505555	0	0	3	3	2
FBXL12	92	43	48	52	69
UBL5	638	367	384	350	567
PIN1	63	35	15	49	33
OLFM2	2	1	1	0	13
COL5A3	1	2	0	0	5
C19orf66	0	0	0	1	1
EIF3G	189	209	52	189	102
DNMT1	348	258	188	243	208
S1PR2	17	22	8	21	12
MRPL4	163	107	52	107	76
ICAM1	6	6	1	8	2
ICAM4	4	0	2	5	0
ICAM5	6	9	2	16	6
ZGLP1	1	0	0	1	1
FDX1L	4	2	1	5	1
RAVER1	50	42	25	58	51
ICAM3	7	2	4	1	2
TYK2	100	60	45	84	60
CDC37	403	256	188	356	281
PDE4A	5	1	2	2	2
KEAP1	44	18	10	28	44
S1PR5	28	13	13	25	45
ATG4D	1	0	0	6	3
KRI1	17	9	13	9	14
CDKN2D	13	5	16	22	26
AP1M2	223	161	68	227	116
SLC44A2	243	196	79	240	203
ILF3-AS1	36	36	19	47	25
ILF3	425	427	236	633	343
QTRT1	7	12	4	31	18
DNM2	122	68	29	88	69
TMED1	12	8	2	7	4
CARM1	240	169	79	210	170
YIPF2	23	13	11	25	13
C19orf52	14	19	6	22	14
SMARCA4	202	114	76	148	135
LDLR	1343	825	787	1128	822
SPC24	1	0	1	2	1
KANK2	44	27	16	28	28
DOCK6	25	14	9	7	11
RAB3D	0	2	0	0	1
TMEM205	279	196	64	187	147
CCDC159	8	2	1	1	2
LPPR2	20	12	2	9	29
SWSAP1	18	14	5	18	11
EPOR	20	3	14	23	5
CCDC151	0	0	0	0	0
PRKCSH	91	28	12	26	13
ELAVL3	0	0	1	0	0
ZNF653	0	0	0	3	2
ECSIT	34	20	11	25	27
CNN1	0	0	0	0	0
ELOF1	71	38	14	69	39
LOC101928434	0	0	0	0	0
ZNF627	31	19	26	25	24
HNRNPA1P10	0	0	0	1	0
ZNF833P	1	0	0	1	0
ZNF823	11	9	2	11	15
ZNF441	3	12	4	8	7
ZNF491	1	0	0	0	0
ZNF440	12	7	7	8	12
ZNF439	0	2	2	1	3
ZNF69	5	2	4	6	7
ZNF700	37	17	21	23	25
ZNF763	4	0	2	2	2
LOC101928464	3	3	1	0	2
ZNF878	2	0	0	0	0
ZNF844	4	4	4	6	10
ZNF788	9	4	5	5	4
ZNF625-ZNF20	0	1	0	0	0
ZNF136	0	0	0	2	0
LOC101928574	1	0	0	0	0
LOC101060181	1	3	1	0	1
ZNF44	13	9	12	13	15
ZNF563	0	2	3	1	4
ZNF442	2	1	1	1	0
ZNF799	8	4	3	3	8
ZNF443	4	7	3	4	10
ZNF709	8	3	4	6	5
ZNF564	5	7	6	7	5
ZNF490	14	13	12	21	13
ZNF791	10	11	7	13	6
MAN2B1	29	9	9	15	22
WDR83	3	1	0	0	1
WDR83OS	5	5	2	3	3
DHPS	49	29	8	36	18
FBXW9	12	12	8	7	11
TNPO2	255	185	93	328	155
C19orf43	469	399	168	533	469
ASNA1	91	40	16	68	40
HOOK2	71	62	38	79	76
JUNB	374	305	234	702	448
PRDX2	99	67	35	62	83
RNASEH2A	97	77	52	125	137
MAST1	0	0	0	0	0
DNASE2	27	26	11	15	34
GCDH	4	1	0	1	0
SYCE2	0	0	0	0	0
FARSA	142	170	63	165	113
CALR	2043	1668	653	1661	851
RAD23A	279	220	118	282	254
GADD45GIP1	32	22	19	22	35
DAND5	0	0	0	2	0
NFIX	35	39	25	44	66
TRMT1	9	4	4	11	8
NACC1	14	25	8	16	7
STX10	86	62	18	96	46
IER2	135	91	100	211	136
CACNA1A	9	2	13	3	18
CCDC130	20	12	10	20	19
MRI1	42	48	39	60	67
C19orf53	156	84	55	115	117
ZSWIM4	67	45	27	78	13
LOC284454	19	13	25	17	27
NANOS3	0	0	0	0	0
C19orf57	0	0	1	0	1
CC2D1A	7	4	0	5	4
DCAF15	13	9	6	10	12
RFX1	36	22	23	55	28
IL27RA	6	6	4	15	4
LOC113230	1	0	0	0	0
SAMD1	1	1	2	0	0
PRKACA	119	71	52	116	95
ASF1B	91	68	34	86	65
LPHN1	0	0	0	0	1
CD97	50	36	13	37	10
DDX39A	71	56	23	41	50
PKN1	1	1	2	0	0
GIPC1	403	303	149	319	324
DNAJB1	224	191	123	328	345
TECR	59	41	3	47	37
NDUFB7	70	62	16	59	51
CLEC17A	1	0	0	0	0
ZNF333	0	0	0	2	0
EMR2	2	1	2	1	3
CASP14	0	0	0	0	167
SYDE1	34	17	22	6	7
ILVBL	33	37	22	29	28
NOTCH3	2	0	0	2	69
EPHX3	2	0	0	1	1
BRD4	358	290	154	384	250
AKAP8	93	82	23	46	42
AKAP8L	1	2	2	4	3
WIZ	133	149	48	157	64
CYP4F3	0	0	0	1	0
CYP4F12	0	0	0	0	2
UCA1	2	2	1	4	1
LOC102724299	1	0	0	0	0
CYP4F11	19	3	0	4	1
TPM4	1720	1296	698	1790	1565
RAB8A	253	222	121	253	174
HSH2D	1	4	1	1	0
FAM32A	132	106	75	173	156
AP1M1	118	61	54	100	89
KLF2	0	2	0	0	3
EPS15L1	27	17	9	10	15
C19orf44	1	1	2	0	0
CHERP	0	1	0	0	0
SLC35E1	232	196	119	239	163
MED26	44	34	5	23	14
SMIM7	33	11	5	19	23
TMEM38A	3	0	2	3	5
NWD1	4	0	2	0	1
SIN3B	127	69	67	97	63
HAUS8	22	18	16	17	30
MYO9B	73	39	13	48	30
USE1	12	12	6	10	14
OCEL1	24	13	2	7	12
NR2F6	122	69	36	152	39
BABAM1	243	94	179	168	235
ANKLE1	2	0	3	1	0
ABHD8	17	6	2	7	5
MRPL34	122	122	56	126	109
DDA1	189	139	58	148	83
ANO8	4	6	9	9	9
GTPBP3	57	32	59	32	47
BST2	1	0	0	0	3
SLC27A1	18	6	7	15	16
PGLS	39	20	7	43	18
FAM129C	0	1	0	0	0
COLGALT1	128	132	53	148	98
UNC13A	0	1	0	0	0
MAP1S	42	19	21	29	23
FCHO1	9	6	9	15	3
B3GNT3	4	3	0	3	1
INSL3	0	0	1	0	0
JAK3	2	3	0	5	0
RPL18A	67	37	11	24	14
SLC5A5	0	0	0	0	1
CCDC124	13	7	6	11	8
ARRDC2	3	4	1	3	4
MAST3	5	6	7	11	7
PIK3R2	212	204	120	276	187
IFI30	53	30	29	30	58
MPV17L2	48	52	18	43	26
RAB3A	2	0	0	0	0
LOC729966	0	1	0	0	0
LSM4	682	487	316	683	645
PGPEP1	19	14	5	23	14
GDF15	7	0	28	32	6
SSBP4	2	6	3	11	2
ISYNA1	9	6	4	5	0
ELL	78	88	60	95	76
FKBP8	55	23	5	36	51
UBA52	1650	1040	549	1084	985
C19orf60	83	45	23	43	44
CRLF1	0	1	0	1	0
KLHL26	35	17	6	23	10
CRTC1	35	5	15	37	8
UPF1	131	75	77	153	117
COPE	57	24	16	79	66
DDX49	4	3	1	6	2
HOMER3	89	47	54	50	79
LOC102724360	2	6	0	0	0
SUGP2	228	85	141	126	140
ARMC6	84	86	25	107	56
SLC25A42	5	3	2	3	6
TMEM161A	11	6	2	19	12
RFXANK	19	9	2	12	6
NR2C2AP	4	4	2	2	2
NCAN	0	0	1	0	0
TM6SF2	0	0	0	0	0
SUGP1	19	7	10	9	11
MAU2	111	76	43	72	55
GATAD2A	200	193	80	224	150
TSSK6	1	0	0	0	0
NDUFA13	79	55	31	46	62
CILP2	0	0	0	1	0
PBX4	9	1	10	11	10
LPAR2	10	19	6	11	9
GMIP	7	9	3	9	6
ATP13A1	11	16	5	25	8
ZNF101	3	3	7	3	4
ZNF14	6	10	9	8	13
LINC00663	0	0	1	4	3
ZNF506	0	1	0	0	0
ZNF253	0	0	2	0	3
ZNF93	1	3	2	4	6
ZNF682	6	5	5	4	5
ZNF90	10	7	5	10	1
ZNF486	10	11	5	16	3
LOC102724436	1	0	0	0	0
ZNF826P	5	3	1	1	0
ZNF737	2	2	5	1	3
ZNF626	10	13	12	9	9
ZNF85	7	21	5	4	7
ZNF430	55	74	47	71	64
ZNF714	29	45	37	56	20
ZNF431	32	17	12	18	23
ZNF708	23	15	16	15	10
ZNF738	38	40	47	75	32
ZNF493	5	2	4	2	3
ZNF429	2	2	4	1	1
ZNF100	32	19	12	23	20
ZNF43	11	13	12	6	19
ZNF208	0	4	0	1	2
ZNF257	0	5	0	3	5
ZNF492	0	6	0	0	7
ZNF99	0	1	0	0	0
ZNF728	1	0	0	0	0
ZNF730	0	4	1	1	0
ZNF724P	1	2	0	0	1
LOC100132815	11	7	5	3	2
ZNF91	24	19	16	27	23
ZNF675	20	26	19	19	29
ZNF681	12	7	13	22	21
RPSAP58	4	24	4	14	7
LOC101929206	0	0	0	1	0
ZNF254	21	31	25	23	26
HAVCR1P1	0	1	0	0	0
LINC00662	9	8	12	12	7
LOC101927151	3	1	1	2	1
LOC102724942	0	0	0	0	0
LOC101927210	0	0	0	0	0
LINC00906	0	0	0	1	0
UQCRFS1	83	123	74	172	142
POP4	90	74	56	107	80
PLEKHF1	29	9	3	13	11
C19orf12	56	55	35	60	41
CCNE1	19	18	11	13	17
URI1	193	221	121	136	246
DKFZp566F0947	0	0	0	0	1
LOC101927254	0	0	0	1	0
TSHZ3	111	81	62	79	78
AC011518.1	0	0	0	0	1
ZNF507	70	48	46	48	41
AC007773.2	0	0	0	2	1
DPY19L3	44	29	20	27	19
PDCD5	452	257	458	310	428
ANKRD27	113	105	104	113	118
NUDT19	89	87	82	95	101
TDRD12	0	0	2	5	0
LOC101929327	1	0	1	1	1
SLC7A9	0	0	0	0	0
CEP89	25	12	10	11	19
C19orf40	5	2	3	5	9
RHPN2	26	18	15	24	13
GPATCH1	33	26	23	15	38
WDR88	0	0	0	2	0
LRP3	5	4	0	1	8
CEBPA	2	0	0	5	105
CEBPA-AS1	0	0	4	1	0
CEBPG	252	235	223	312	362
PEPD	116	94	68	123	114
CHST8	0	0	0	0	0
KCTD15	55	77	50	90	69
LSM14A	250	179	175	272	278
KIAA0355	46	30	24	53	32
GPI	539	415	286	631	446
PDCD2L	23	31	25	34	39
UBA2	260	287	386	387	387
WTIP	9	2	7	8	10
ZNF807	0	1	0	0	0
SCGB1B2P	0	2	0	2	1
ZNF302	9	1	11	7	8
ZNF181	8	7	11	4	12
ZNF599	4	2	0	1	1
LOC102723540	0	0	0	0	0
LOC102723513	0	0	0	0	0
ZNF30	6	7	11	5	15
ZNF792	7	11	5	6	1
GRAMD1A	25	6	11	12	11
SCN1B	1	0	0	0	1
FXYD3	581	414	356	508	1293
FXYD5	170	81	72	88	179
LSR	132	71	30	37	60
USF2	82	94	28	100	49
FFAR2	0	0	0	0	1
KRTDAP	1	0	0	0	6
DMKN	101	82	19	108	30
SBSN	0	0	0	0	9
TMEM147	268	240	95	240	264
HAUS5	35	23	14	32	25
RBM42	92	47	19	54	49
ETV2	1	0	0	0	0
COX6B1	540	386	223	410	367
UPK1A	0	1	0	0	0
KMT2B	50	23	19	33	37
IGFLR1	2	3	1	2	1
U2AF1L4	17	18	4	19	19
PSENEN	186	202	71	200	115
LIN37	5	8	1	8	1
HSPB6	1	1	0	1	1
C19orf55	6	2	2	4	2
ARHGAP33	7	4	1	10	4
NPHS1	0	0	0	0	0
KIRREL2	0	0	0	0	0
APLP1	1	4	0	3	1
NFKBID	7	9	4	11	9
HCST	1	0	0	2	1
LRFN3	11	4	1	6	6
SDHAF1	18	13	2	25	25
SYNE4	3	2	1	4	1
ALKBH6	13	5	9	13	16
THAP8	0	0	0	1	0
WDR62	0	1	1	1	4
POLR2I	107	67	34	59	63
TBCB	319	204	109	228	142
CAPNS1	1408	1599	327	2027	561
COX7A1	0	1	0	0	0
ZNF565	1	0	5	4	6
ZNF146	295	356	220	413	270
LINC00665	6	5	6	10	0
ZFP14	2	3	9	4	13
ZFP82	4	5	4	8	3
LOC644189	1	0	0	0	0
ZNF566	15	10	13	15	20
ZNF260	59	31	38	49	32
ZNF529	24	36	17	41	22
AC092295.7	1	0	0	0	1
ZNF382	4	4	3	3	0
ZNF461	4	8	5	14	11
AC074138.3	1	0	0	0	0
ZNF567	6	6	2	7	3
ZNF850	15	5	12	11	7
ZNF790	1	0	1	1	0
ZNF829	0	2	1	0	0
ZNF568	3	0	1	1	3
ZNF420	4	2	8	3	13
ZNF585A	32	25	27	29	38
ZNF585B	27	26	28	53	19
ZNF383	5	5	8	10	8
AC012309.5	2	4	0	1	0
LOC284412	1	1	1	1	0
HKR1	37	21	18	40	25
ZNF527	9	5	4	9	7
ZNF569	17	11	9	20	24
ZNF570	4	5	2	2	3
LOC101927720	3	2	1	0	3
ZNF793	12	20	25	29	17
ZNF540	0	1	0	2	0
ZNF571	1	1	0	0	0
ZFP30	26	17	23	24	14
ZNF781	0	2	0	0	1
ZNF573	7	7	5	8	9
WDR87	0	0	0	1	0
SIPA1L3	125	165	72	132	103
DPF1	10	7	0	6	12
PPP1R14A	3	3	5	8	8
SPINT2	1994	2123	1272	3045	2044
YIF1B	30	19	5	30	8
C19orf33	126	84	9	48	17
KCNK6	4	2	0	2	1
CATSPERG	0	0	1	0	0
PSMD8	286	169	68	170	162
GGN	2	0	0	0	1
SPRED3	8	8	1	7	4
FAM98C	28	30	17	26	35
RYR1	0	1	1	1	2
MAP4K1	0	0	0	0	0
EIF3K	290	226	156	308	295
ACTN4	798	618	275	1272	605
CAPN12	3	4	2	1	0
LGALS7	2	0	0	1	4
LGALS7B	1	1	0	1	7
ECH1	270	123	120	183	279
HNRNPL	679	688	653	1532	901
RINL	6	2	4	3	3
SIRT2	71	84	19	104	51
NFKBIB	61	32	26	34	55
SARS2	58	24	34	22	48
MRPS12	90	88	33	65	90
FBXO17	38	43	17	32	41
FBXO27	31	15	10	38	30
PAPL	0	0	0	6	0
PAK4	29	23	11	42	17
LRFN1	0	2	0	2	2
GMFG	0	0	0	1	0
SAMD4B	82	69	30	87	50
PAF1	49	32	19	22	24
MED29	61	46	24	65	50
ZFP36	254	304	290	593	556
PLEKHG2	27	19	9	14	7
RPS16	4292	3124	1841	2765	3060
LOC723805	0	0	0	0	0
SUPT5H	188	135	59	135	133
TIMM50	92	117	41	89	77
DLL3	15	16	8	10	7
SELV	0	0	1	0	0
EID2B	13	6	2	7	6
EID2	69	57	65	73	88
DYRK1B	4	4	1	6	0
FBL	371	224	166	191	243
PSMC4	174	82	78	103	139
ZNF546	5	3	4	3	2
ZNF780B	23	23	11	19	9
ZNF780A	33	17	20	25	12
MAP3K10	2	1	0	1	0
CNTD2	3	0	2	0	0
AKT2	147	98	69	166	138
C19orf47	19	11	2	9	11
PLD3	38	13	12	46	21
SERTAD1	50	26	4	16	33
SERTAD3	30	28	18	54	31
BLVRB	44	26	17	23	82
SHKBP1	112	99	41	140	127
LTBP4	125	40	26	68	34
NUMBL	32	24	20	18	18
ADCK4	13	6	1	12	4
ITPKC	34	30	7	36	39
C19orf54	18	7	6	8	10
SNRPA	60	52	25	87	45
CYP2B7P	0	0	0	0	1
CYP2B6	1	0	0	0	0
CYP2F1	0	0	0	0	0
CYP2S1	39	41	30	49	14
AXL	463	337	216	533	82
HNRNPUL1	1164	886	427	1115	618
CCDC97	12	11	8	0	10
TGFB1	5	0	1	4	1
B9D2	2	2	1	0	3
TMEM91	4	5	3	6	15
EXOSC5	38	27	8	27	27
BCKDHA	30	30	3	25	16
B3GNT8	1	0	0	0	0
ATP5SL	111	79	56	94	104
LYPD4	0	0	1	0	0
RPS19	1806	1115	438	893	1000
CD79A	0	0	0	0	0
ARHGEF1	168	95	27	68	67
LOC100505585	0	0	0	0	0
RABAC1	49	19	27	79	41
GRIK5	2	0	1	2	0
ZNF574	74	57	16	72	47
POU2F2	579	265	199	476	14
LOC100505622	1	0	0	0	0
DEDD2	12	21	9	24	13
ZNF526	24	30	9	22	16
GSK3A	170	134	64	175	118
ERF	34	25	14	38	70
CIC	47	26	16	40	53
PAFAH1B3	85	48	31	89	118
PRR19	0	1	0	0	1
MEGF8	52	30	6	38	15
CNFN	7	7	5	8	9
LIPE-AS1	0	1	0	0	0
AC004603.4	0	0	0	0	1
PSG6	0	0	1	0	0
PSG7	0	0	0	1	0
PSG2	0	0	0	0	1
PSG5	0	0	0	0	1
PSG4	3	1	0	4	10
LOC284344	1	0	0	1	2
PSG9	0	0	1	0	1
PRG1	0	0	0	1	0
LYPD3	76	89	51	108	277
PHLDB3	1	1	2	1	4
ETHE1	488	405	180	564	330
ZNF575	5	0	1	0	1
XRCC1	31	24	11	35	36
PINLYP	15	9	6	6	13
IRGQ	44	24	34	40	18
ZNF576	20	18	10	12	14
ZNF428	17	11	6	18	26
CADM4	21	10	6	14	17
PLAUR	16	14	3	7	5
SMG9	0	1	1	0	1
KCNN4	4	6	12	21	4
LYPD5	0	0	0	0	0
ZNF283	10	11	6	12	11
ZNF404	3	2	2	4	3
RP11-15A1.3	14	4	5	10	13
ZNF45	13	11	8	7	8
ZNF221	1	2	0	2	1
ZNF155	1	1	2	0	1
RP11-15A1.7	0	0	0	0	3
ZNF230	8	11	4	8	15
ZNF222	2	7	5	5	1
ZNF223	15	10	3	3	5
ZNF284	4	2	2	5	2
LOC100379224	0	1	1	0	0
ZNF225	7	9	1	2	4
ZNF234	24	21	16	33	20
ZNF226	20	11	10	9	9
ZNF227	19	19	17	23	15
ZNF233	0	1	2	3	1
ZNF235	9	6	4	3	2
ZNF112	9	8	10	7	5
ZNF285	3	5	2	2	1
ZNF229	23	28	12	13	7
ZNF180	24	26	10	24	19
PVR	101	95	39	82	47
CEACAM19	3	1	2	4	1
BCL3	47	38	13	32	12
CBLC	14	8	4	5	4
BCAM	28	21	9	27	53
PVRL2	10	4	4	7	6
TOMM40	27	30	10	55	25
APOE	1	2	3	1	13
APOC1	4	1	0	1	1
CLPTM1	68	41	34	64	89
RELB	11	6	3	5	0
CLASRP	4	1	4	7	15
ZNF296	27	8	4	9	19
GEMIN7	23	8	1	16	10
PPP1R37	3	2	4	5	7
NKPD1	1	1	0	2	6
TRAPPC6A	9	4	3	10	4
BLOC1S3	44	28	9	57	43
EXOC3L2	1	0	0	1	0
MARK4	59	55	34	91	91
KLC3	6	15	1	7	18
ERCC2	9	5	1	5	4
PPP1R13L	274	195	117	297	195
CD3EAP	0	0	2	0	0
ERCC1	69	75	11	48	31
RTN2	6	4	2	2	2
PPM1N	18	5	15	6	9
VASP	634	476	250	448	279
OPA3	1	5	1	3	0
EML2	42	32	50	61	36
SNRPD2	470	321	331	288	461
QPCTL	5	2	0	3	4
FBXO46	88	63	43	93	69
SIX5	32	26	16	49	21
DMPK	15	7	6	17	9
DMWD	74	32	15	75	20
SYMPK	6	2	3	11	5
IRF2BP1	5	1	1	3	2
MYPOP	21	7	13	13	19
NOVA2	1	0	2	0	0
CCDC61	2	0	0	2	0
IGFL3	0	0	0	0	158
IGFL2	0	0	0	0	2
AC006262.5	0	0	0	0	3
IGFL1	0	0	0	0	92
HIF3A	0	1	0	2	0
PPP5C	37	23	33	48	66
CCDC8	155	105	72	177	27
PNMAL1	72	0	5	3	5
PPP5D1	0	1	0	1	1
CALM3	397	380	197	434	229
DACT3-AS1	0	0	1	0	0
PRKD2	4	2	0	2	0
STRN4	303	185	55	304	174
FKRP	46	33	31	42	33
SLC1A5	15	10	2	5	1
AP2S1	110	39	48	54	112
ARHGAP35	277	213	120	195	230
NPAS1	0	0	0	0	1
TMEM160	8	2	5	24	8
ZC3H4	163	180	158	209	116
SAE1	163	150	77	168	138
BBC3	4	2	7	14	3
CCDC9	0	0	0	1	1
PRR24	38	15	8	30	36
DHX34	13	17	3	11	8
MEIS3	1	1	0	1	0
KPTN	13	7	5	4	12
NAPA-AS1	1	1	0	1	0
NAPA	4	0	0	0	0
GLTSCR1	42	28	17	33	35
EHD2	367	225	73	287	126
GLTSCR2	48	16	24	11	27
SEPW1	711	669	247	923	635
SULT2A1	0	1	0	0	0
PLA2G4C	0	0	0	0	1
LIG1	50	21	8	26	28
CARD8	11	8	17	14	24
LOC100505812	7	4	1	2	2
ZNF114	1	2	0	1	0
CCDC114	0	0	0	0	0
EMP3	87	41	19	99	21
TMEM143	13	10	8	17	14
KDELR1	887	527	203	448	308
GRIN2D	6	7	2	0	2
GRWD1	57	54	13	31	21
KCNJ14	2	2	1	4	2
CYTH2	99	41	60	62	64
LMTK3	18	17	5	13	9
SULT2B1	0	0	0	0	7
FAM83E	0	1	0	0	0
RPL18	1071	639	484	578	821
SPHK2	14	11	9	14	9
DBP	4	3	2	5	10
CA11	1	3	1	5	5
SEC1P	0	0	0	0	1
FUT2	2	4	1	0	2
MAMSTR	2	2	0	2	0
RASIP1	17	11	20	25	39
FUT1	14	11	10	21	8
FGF21	0	0	0	0	1
BCAT2	72	65	45	70	52
HSD17B14	17	4	5	8	1
PLEKHA4	9	7	3	9	13
PPP1R15A	139	136	35	112	51
TULP2	0	0	1	0	0
NUCB1	109	56	50	94	92
DHDH	4	1	1	1	7
BAX	21	16	12	26	33
FTL	1045	1184	555	965	2854
GYS1	113	90	24	115	38
RUVBL2	225	227	98	247	178
LHB	1	0	1	0	0
SNAR-G2	0	0	1	0	0
CGB7	3	0	0	0	1
NTF4	14	4	11	11	11
KCNA7	0	0	0	0	1
SNRNP70	285	207	124	277	230
LIN7B	1	1	1	0	0
C19orf73	0	1	0	3	0
PPFIA3	0	0	0	0	1
HRC	0	0	0	0	0
TRPM4	5	6	5	4	12
CD37	0	0	0	1	0
