"lako1"	"lako2"	"lako3"	"lako4"
"ZYG11A"	8	6	5	5
"ECHDC2"	792	550	553	1340
"SCP2"	2805	1904	2475	5060
"PODN"	6	2	2	14
"SLC1A7"	0	0	0	0
"AL445183.2"	1	0	0	0
"CPT2"	115	49	77	214
"AL606760.2"	6	0	0	4
"CZIB"	500	327	280	810
"AL606760.3"	20	9	3	11
"MAGOH"	1354	1101	995	2478
"AL606760.1"	35	23	18	41
"LRP8"	18	14	16	107
"LINC01771"	0	0	0	0
"GLIS1"	101	36	68	131
"NDC1"	172	74	98	335
"YIPF1"	221	112	141	362
"HSPB11"	1548	1174	1254	3056
"LRRC42"	500	358	381	683
"LDLRAD1"	2	1	0	2
"TMEM59"	5862	4101	4253	9402
"TCEANC2"	65	23	44	122
"CYB5RL"	19	6	7	26
"MRPL37"	511	314	331	877
"SSBP3"	530	380	496	1092
"SSBP3-AS1"	0	1	0	3
"AC099796.2"	1	0	3	0
"ACOT11"	161	59	89	289
"MROH7"	24	8	22	40
"TTC4"	275	108	140	399
"PARS2"	25	9	12	36
"TTC22"	111	40	65	205
"LEXM"	1	0	0	1
"DHCR24"	412	258	296	758
"AC096536.2"	0	2	0	0
"DHCR24-DT"	3	1	2	5
"AL590440.2"	1	0	3	1
"TMEM61"	57	23	56	51
"PCSK9"	2	2	4	16
"USP24"	170	86	102	274
"AL603840.1"	0	0	1	1
"AC119674.1"	2	3	8	3
"LINC01767"	0	0	0	0
"PLPP3"	225	121	81	300
"PRKAA2"	120	45	93	131
"FYB2"	5	2	2	2
"C8A"	1	0	0	0
"C8B"	0	0	0	0
"DAB1"	8	11	5	4
"DAB1-AS1"	3	0	0	0
"OMA1"	209	157	178	345
"AL035411.3"	1	1	3	3
"TACSTD2"	25874	25350	31330	39002
"MYSM1"	470	289	411	646
"AL136985.3"	7	3	8	6
"JUN"	49976	17054	14218	50735
"LINC01135"	48	40	29	81
"AL136985.2"	2	0	1	2
"LINC02777"	19	19	7	29
"LINC01358"	1	1	0	3
"AC093425.1"	9	4	7	16
"AC093424.1"	3	0	0	0
"FGGY"	571	393	437	1014
"HOOK1"	658	275	450	788
"CYP2J2"	6	0	3	3
"C1orf87"	0	0	0	0
"LINC01748"	9	6	8	19
"AC099792.1"	0	0	0	0
"NFIA"	925	650	1110	2374
"NFIA-AS2"	0	0	0	1
"NFIA-AS1"	1	0	0	1
"AC099791.4"	0	2	2	2
"TM2D1"	946	724	876	1587
"AC099791.2"	75	42	31	110
"PATJ"	534	346	444	943
"L1TD1"	2	3	23	10
"KANK4"	12	1	2	4
"USP1"	569	339	352	1032
"DOCK7"	346	148	231	514
"ANGPTL3"	0	0	0	0
"AC103923.1"	5	7	3	4
"ATG4C"	123	61	79	191
"FOXD3-AS1"	1	1	0	5
"FOXD3"	4	0	1	5
"ALG6"	204	87	129	261
"ITGB3BP"	403	360	545	1114
"EFCAB7"	59	38	51	118
"DLEU2L"	13	5	6	28
"PGM1"	492	243	260	706
"ROR1"	4	1	2	15
"ROR1-AS1"	1	2	0	0
"AL445205.1"	7	0	0	2
"CACHD1"	59	77	107	113
"RAVER2"	53	34	52	129
"JAK1"	1739	1023	1402	2350
"LINC01359"	2	4	7	10
"AL357078.2"	1	0	0	0
"AK4"	195	85	253	377
"DNAJC6"	4	1	4	4
"LEPROT"	1084	604	696	1633
"LEPR"	46	26	21	136
"AC119800.1"	0	0	3	6
"PDE4B"	79	42	119	120
"SGIP1"	1	0	0	0
"AL139147.1"	2	0	2	0
"TCTEX1D1"	0	0	0	0
"WDR78"	37	25	27	65
"MIER1"	920	580	618	1322
"SLC35D1"	232	92	110	429
"C1orf141"	2	0	1	0
"AL133320.2"	1	2	0	2
"IL23R"	6	0	3	6
"IL12RB2"	2	2	0	8
"SERBP1"	6449	3611	4758	8860
"GADD45A"	2121	2173	3664	2288
"GNG12"	970	731	1175	1832
"GNG12-AS1"	34	51	43	90
"DIRAS3"	29	17	52	51
"WLS"	1285	728	855	2097
"DEPDC1"	121	87	77	106
"AL033530.1"	7	0	0	3
"LRRC7"	7	6	8	19
"LRRC40"	174	99	150	244
"SRSF11"	3030	1847	2346	4326
"AL353771.1"	0	0	0	0
"ANKRD13C"	178	94	117	272
"HHLA3"	205	146	132	302
"CTH"	46	37	63	43
"AL354872.2"	4	1	2	2
"PTGER3"	3	0	5	14
"ZRANB2-AS1"	1	0	1	3
"ZRANB2"	1642	826	747	1806
"ZRANB2-AS2"	46	17	22	62
"NEGR1"	2	1	2	6
"AL513166.1"	3	3	6	3
"AL583808.1"	6	6	1	7
"LRRIQ3"	22	24	24	61
"FPGT"	182	75	76	207
"TNNI3K"	29	34	43	75
"ERICH3"	78	24	31	27
"ERICH3-AS1"	5	8	16	4
"AC135803.1"	1	1	4	6
"CRYZ"	575	180	776	935
"TYW3"	806	439	420	1079
"SLC44A5"	97	6	88	130
"ACADM"	714	315	450	921
"RABGGTB"	912	523	685	1314
"ST6GALNAC3"	230	85	183	332
"LINC02567"	0	0	0	1
"ST6GALNAC5"	84	41	47	191
"AL035409.1"	2	0	0	14
"PIGK"	284	144	167	392
"AK5"	0	0	1	0
"AC118549.1"	363	166	219	586
"USP33"	435	221	267	736
"MIGA1"	299	209	187	520
"NEXN-AS1"	2	1	1	0
"NEXN"	10	5	5	14
"FUBP1"	1109	610	689	1144
"DNAJB4"	2333	855	1155	1947
"GIPC2"	6	2	1	5
"AC103591.3"	85	179	131	469
"AC103591.4"	3	0	0	1
"PTGFR"	1	0	0	0
"IFI44L"	6	6	13	61
"IFI44"	22	41	25	87
"ADGRL4"	3	1	0	13
"ADGRL2"	120	86	133	267
"AC117944.1"	0	1	0	0
"AL157944.1"	0	0	0	0
"LINC01361"	3	1	4	5
"LINC01725"	63	69	59	135
"AL035706.1"	0	0	0	0
"TTLL7"	7	4	8	22
"TTLL7-IT1"	0	0	0	0
"AL359504.2"	8	4	4	12
"PRKACB"	17	25	27	70
"SAMD13"	18	6	8	32
"RPF1"	568	295	338	780
"GNG5"	4093	2293	2361	5840
"SPATA1"	59	51	33	62
"CTBS"	438	259	299	661
"AL359762.1"	8	1	0	11
"SSX2IP"	493	263	317	742
"LPAR3"	328	131	212	374
"MCOLN2"	1	4	1	7
"WDR63"	2	5	14	14
"MCOLN3"	15	14	9	22
"SYDE2"	30	17	22	36
"C1orf52"	822	522	694	953
"BCL10"	1753	746	1735	1393
"AL078459.1"	23	34	86	47
"DDAH1"	4	9	6	13
"AL360219.1"	0	0	1	0
"AC092807.3"	4	1	1	4
"AC092807.2"	0	0	0	0
"CCN1"	4930	858	1566	1804
"ZNHIT6"	307	161	175	419
"COL24A1"	2	1	0	9
"LINC02795"	1	0	0	6
"ODF2L"	478	228	211	715
"CLCA2"	3186	1604	2842	6772
"CLCA4"	1197	591	560	1721
"CLCA4-AS1"	9	4	3	9
"AL049597.2"	32	24	22	43
"SH3GLB1"	1342	895	867	2327
"SELENOF"	1915	1302	1450	3003
"HS2ST1"	204	110	148	376
"LINC01140"	4	4	10	25
"LINC02801"	0	0	0	1
"LMO4"	1404	1173	1898	3456
"PKN2-AS1"	9	3	5	12
"PKN2"	812	490	555	1411
"GTF2B"	1088	881	1178	1548
"KYAT3"	504	258	405	679
"RBMXL1"	274	182	178	392
"GBP3"	155	131	244	402
"GBP1"	126	270	285	516
"GBP2"	55	149	144	219
"GBP7"	0	0	0	4
"GBP4"	17	18	29	127
"AC099063.4"	0	1	6	5
"GBP5"	0	3	2	1
"GBP6"	6	7	6	27
"LRRC8B"	240	114	191	347
"LRRC8C-DT"	64	25	21	67
"LRRC8C"	209	64	127	180
"AC099568.1"	2	0	0	0
"AC099568.2"	31	13	8	40
"LRRC8D"	588	294	442	1034
"ZNF326"	2852	1326	1235	3594
"AL161797.1"	2	0	1	0
"LINC02609"	8	18	29	19
"LINC01763"	0	0	0	0
"ZNF644"	979	824	972	1617
"HFM1"	0	0	3	1
"CDC7"	32	22	16	107
"TGFBR3"	288	184	292	333
"BRDT"	0	0	0	0
"EPHX4"	1	0	1	4
"BTBD8"	67	24	27	121
"AC104836.1"	1	0	0	0
"GLMN"	130	77	76	265
"RPAP2"	387	232	182	644
"EVI5"	478	232	251	701
"RPL5"	23844	27592	27074	40388
"DIPK1A"	98	71	76	123
"MTF2"	593	297	365	737
"TMED5"	521	368	462	724
"CCDC18"	121	43	35	116
"CCDC18-AS1"	574	313	299	853
"DR1"	644	459	636	995
"FNBP1L"	476	257	291	624
"BCAR3"	159	177	272	206
"AL109613.1"	0	4	2	1
"AL049796.1"	1	6	1	9
"DNTTIP2"	1100	689	567	1188
"GCLM"	429	346	496	768
"ABCA4"	1	3	9	2
"ARHGAP29"	140	72	218	135
"ARHGAP29-AS1"	0	0	9	0
"AC118469.2"	2	2	1	1
"ABCD3"	438	215	371	763
"F3"	932	3362	4941	1250
"SLC44A3"	96	50	123	127
"CNN3"	534	376	681	738
"AC105942.1"	11	11	7	17
"ALG14"	193	106	126	347
"AC095033.1"	2	0	0	0
"TLCD4"	11	4	3	8
"AC092802.1"	10	7	4	15
"RWDD3"	232	190	131	556
"AC092802.4"	2	1	0	0
"AL683887.1"	1	0	0	1
"PTBP2"	195	147	168	278
"DPYD"	50	82	82	174
"SNX7"	444	226	259	590
"PLPPR5"	0	0	0	0
"PLPPR4"	2	3	1	3
"PALMD"	130	215	236	375
"FRRS1"	219	120	66	302
"AGL"	2354	942	1945	4983
"AC118553.1"	21	14	12	31
"SLC35A3"	385	184	234	555
"MFSD14A"	368	329	462	780
"SASS6"	169	57	55	240
"TRMT13"	247	127	138	404
"LRRC39"	4	2	6	13
"DBT"	260	107	133	351
"AL445928.2"	2	3	3	1
"RTCA-AS1"	115	50	46	146
"RTCA"	269	170	220	365
"CDC14A"	53	20	29	75
"GPR88"	0	0	0	0
"VCAM1"	0	2	0	0
"EXTL2"	282	164	201	560
"AC104506.1"	92	83	52	140
"SLC30A7"	205	156	293	453
"DPH5"	243	187	185	368
"AC093157.2"	3	3	8	17
"AC093157.1"	206	80	88	291
"AL109741.1"	6	1	7	5
"S1PR1"	26	16	69	58
"LINC01307"	8	6	2	21
"OLFM3"	0	0	0	0
"COL11A1"	1	1	0	0
"AC095032.1"	0	0	0	1
"RNPC3"	389	195	191	674
"AMY2B"	24	19	34	77
"PRMT6"	135	64	98	284
"NTNG1"	215	206	138	464
"VAV3"	1088	653	567	2494
"VAV3-AS1"	7	3	4	6
"LINC02785"	52	32	49	40
"SLC25A24"	642	268	339	845
"AL359258.2"	32	5	15	101
"FAM102B"	53	32	28	105
"HENMT1"	49	12	28	43
"AL160171.1"	1	0	0	0
"PRPF38B"	1905	1018	1170	2318
"STXBP3"	588	425	505	1021
"AKNAD1"	77	48	11	65
"GPSM2"	558	417	369	798
"CLCC1"	204	119	120	282
"WDR47"	247	112	167	309
"TAF13"	337	205	298	468
"AL356488.3"	85	48	28	79
"TMEM167B"	641	325	340	689
"AL356488.2"	1	1	1	3
"KIAA1324"	12	2	4	11
"SARS"	1488	1028	1240	2179
"CELSR2"	266	155	188	809
"PSRC1"	53	11	18	59
"MYBPHL"	3	0	1	2
"SORT1"	70	19	33	53
"PSMA5"	1750	956	914	2433
"SYPL2"	6	3	1	3
"ATXN7L2"	26	10	5	28
"CYB561D1"	19	12	4	37
"AMIGO1"	4	7	7	12
"GPR61"	1	1	1	4
"GNAI3"	1949	1116	1591	2605
"AL355310.1"	1	0	1	1
"GNAT2"	0	0	0	0
"AMPD2"	59	29	53	104
"GSTM4"	210	157	187	320
"GSTM2"	55	54	39	86
"AC000032.1"	2	4	2	0
"GSTM5"	4	8	1	6
"GSTM3"	350	319	244	510
"CSF1"	24	16	24	63
"AHCYL1"	1351	896	1501	2339
"STRIP1"	169	70	80	208
"AL160006.1"	9	6	7	32
"ALX3"	0	0	0	2
"UBL4B"	0	0	0	0
"SLC6A17"	44	37	29	68
"LINC02586"	1	1	0	0
"KCNC4"	60	29	38	109
"RBM15-AS1"	2	2	2	5
"RBM15"	189	101	185	258
"LAMTOR5-AS1"	48	17	19	71
"SLC16A4"	62	60	100	111
"AL355488.1"	46	22	17	68
"LAMTOR5"	2782	1993	2128	4621
"KCNA2"	0	0	0	0
"AL365361.1"	0	0	0	1
"KCNA3"	0	0	0	0
"CD53"	5	1	0	3
"AL360270.2"	24	9	25	26
"AL360270.1"	3	0	5	4
"LRIF1"	801	350	713	953
"AL360270.3"	25	6	8	16
"DRAM2"	446	235	374	721
"CEPT1"	221	117	133	362
"AL355816.1"	5	0	3	1
"AL355816.2"	20	18	34	41
"DENND2D"	235	95	95	296
"CHI3L2"	9	0	1	36
"PIFO"	24	17	36	25
"OVGP1"	12	12	14	45
"AL390195.2"	19	8	13	33
"AL390195.1"	7	2	1	6
"WDR77"	164	49	92	216
"ATP5PB"	2203	1385	1549	3239
"C1orf162"	17	5	15	20
"TMIGD3"	0	0	0	0
"ADORA3"	0	0	2	1
"RAP1A"	678	505	641	1140
"LINC01160"	0	0	0	0
"INKA2"	43	46	31	80
"INKA2-AS1"	9	3	3	8
"AL049557.1"	6	2	2	0
"DDX20"	167	70	106	210
"KCND3"	8	7	8	23
"LINC01750"	2	2	0	0
"AL445426.1"	4	5	1	3
"CTTNBP2NL"	341	267	323	515
"WNT2B"	47	55	55	59
"AL354760.1"	2	2	4	1
"ST7L"	248	185	132	329
"CAPZA1"	957	654	1196	1892
"MOV10"	138	81	146	300
"AL603832.1"	3	2	5	6
"RHOC"	1743	1027	1452	2788
"PPM1J"	56	38	54	74
"AL603832.2"	1	0	1	1
"TAFA3"	3	2	1	3
"LINC01357"	0	0	0	0
"SLC16A1"	200	60	66	145
"SLC16A1-AS1"	24	23	21	63
"LRIG2-DT"	9	8	6	11
"LRIG2"	153	88	62	246
"MAGI3"	470	180	306	409
"PHTF1"	76	45	51	106
"RSBN1"	592	345	402	737
"AL137856.1"	1	1	1	3
"PTPN22"	4	0	2	4
"AP4B1-AS1"	6	4	3	4
"BCL2L15"	9	11	9	21
"AP4B1"	97	31	54	118
"DCLRE1B"	48	18	29	61
"HIPK1-AS1"	25	10	7	26
"HIPK1"	502	289	434	786
"OLFML3"	56	14	38	65
"TRIM33"	809	386	593	1291
"BCAS2"	2761	1813	1540	2878
"DENND2C"	2612	2145	4040	3618
"AMPD1"	0	0	0	1
"NRAS"	431	312	389	674
"CSDE1"	3417	2480	3229	5655
"SIKE1"	367	272	289	614
"SYCP1"	0	0	0	0
"TSPAN2"	14	28	34	29
"NGF"	6	1	0	1
"VANGL1"	61	53	75	159
"CASQ2"	1	0	0	1
"NHLH2"	2	1	1	0
"SLC22A15"	20	11	8	37
"MAB21L3"	3	8	3	19
"LINC01779"	0	0	0	0
"ATP1A1"	4606	2477	3230	6929
"ATP1A1-AS1"	98	100	69	128
"LINC01762"	1	2	0	3
"AL390066.1"	4	0	4	2
"CD58"	456	224	341	760
"IGSF3"	166	188	231	549
"CD2"	0	0	0	6
"AL157904.1"	11	4	6	11
"PTGFRN"	395	294	477	888
"CD101"	6	3	10	14
"AL445231.1"	4	1	4	14
"TTF2"	232	107	124	285
"TRIM45"	26	16	19	47
"VTCN1"	0	0	1	0
"AL358072.1"	2	1	1	11
"MAN1A2"	621	346	313	1007
"TENT5C"	47	83	85	136
"GDAP2"	129	68	88	229
"WDR3"	226	81	113	273
"SPAG17"	5	0	4	13
"TBX15"	0	0	0	0
"WARS2"	156	101	83	217
"WARS2-IT1"	0	0	1	0
"WARS2-AS1"	33	19	15	85
"AL359915.1"	1	1	0	1
"LINC01780"	0	0	0	0
"LINC00622"	1	1	0	5
"ZNF697"	15	8	11	28
"PHGDH"	1021	717	591	1596
"HMGCS2"	0	1	1	0
"ADAM30"	1	0	2	0
"NOTCH2"	164	179	260	354
"AC245008.1"	0	0	1	0
"SEC22B"	485	271	433	877
"AC253572.1"	4	5	10	22
"NBPF26"	18	19	40	61
"AC253572.2"	7	24	37	76
"LINC00623"	173	178	173	345
"FCGR1B"	0	0	1	0
"AC244453.2"	0	1	1	1
"FAM72B"	15	5	15	7
"SRGAP2C"	260	193	300	592
"LINC02798"	0	0	2	3
"AL592494.2"	3	0	0	1
"AC239800.2"	0	1	0	0
"LINC02591"	35	32	35	90
"HIST2H3PS2"	13	11	11	27
"FAM72C"	11	4	13	13
"LINC02802"	73	91	70	214
"AC246785.3"	1	4	5	2
"NBPF15"	30	9	9	28
"FP700111.1"	0	0	0	0
"SRGAP2B"	228	148	206	439
"FAM72D"	15	9	16	17
"AC245014.3"	3	7	9	54
"AC245014.1"	0	3	1	2
"NBPF20"	10	8	16	15
"GPR89A"	126	72	87	178
"PDZK1"	19	9	6	27
"CD160"	2	2	5	6
"RNF115"	588	367	405	964
"POLR3C"	183	92	89	242
"NUDT17"	11	4	15	16
"PIAS3"	114	81	90	228
"ANKRD35"	2	2	3	5
"ITGA10"	20	4	7	17
"PEX11B"	156	88	137	281
"RBM8A"	2951	2558	2490	4523
"LIX1L-AS1"	32	22	23	56
"LIX1L"	46	51	45	101
"ANKRD34A"	6	3	7	8
"POLR3GL"	307	238	205	501
"TXNIP"	4251	7098	7042	15059
"AC239799.2"	11	29	40	117
"LINC01719"	10	8	5	23
"NBPF10"	5	15	21	16
"NOTCH2NLA"	67	63	60	94
"AC239799.1"	12	13	14	18
"AC245407.2"	296	270	137	400
"NBPF12"	66	51	64	124
"PRKAB2"	173	95	99	361
"AC242426.2"	45	19	15	42
"FMO5"	32	13	22	39
"CHD1L"	33	22	34	50
"LINC00624"	2	0	0	2
"BCL9"	82	69	91	187
"ACP6"	153	61	83	282
"GJA5"	0	0	0	0
"GJA8"	0	0	0	0
"GPR89B"	66	54	54	139
"AC239803.1"	2	1	0	13
"LINC02804"	3	3	1	10
"NBPF11"	106	80	161	319
"LINC02805"	6	6	6	8
"AC239809.3"	320	587	200	428
"LINC01731"	10	13	52	117
"LINC01138"	112	131	104	226
"LINC02806"	0	0	1	1
"AC245100.1"	3	2	3	6
"AC245100.6"	0	1	1	0
"PPIAL4G"	2	2	8	4
"NBPF14"	16	12	29	42
"NUDT4B"	0	1	1	2
"PDE4DIP"	306	217	224	684
"NBPF9"	51	49	97	170
"AC245297.3"	664	437	751	1185
"AC245297.2"	23	11	40	47
"NOTCH2NLC"	60	39	50	63
"NBPF19"	41	62	77	61
"AC242842.1"	1	2	0	0
"FCGR1A"	1	0	0	1
"HIST2H2BF"	56	79	34	67
"AC243772.2"	5	0	1	11
"HIST2H3D"	3	1	1	2
"HIST2H4A"	0	6	2	3
"HIST2H2AA3"	0	0	0	3
"HIST2H2AA4"	265	1534	78	279
"HIST2H4B"	13	17	12	14
"AC239868.1"	20	10	15	21
"HIST2H2BE"	118	120	55	155
"HIST2H2AC"	451	280	189	475
"HIST2H2AB"	21	38	9	32
"BOLA1"	309	138	104	386
"SV2A"	23	28	23	29
"SF3B4"	892	499	495	957
"MTMR11"	50	50	54	106
"OTUD7B"	208	169	226	445
"AC244033.2"	99	88	57	142
"VPS45"	177	98	120	357
"PLEKHO1"	74	328	432	275
"ANP32E"	688	557	636	1168
"CA14"	7	7	8	13
"APH1A"	1058	567	679	1693
"C1orf54"	86	53	66	93
"CIART"	375	229	224	379
"MRPS21"	2013	1381	1440	3832
"PRPF3"	311	158	170	377
"RPRD2"	352	211	276	615
"TARS2"	113	51	59	235
"ECM1"	2748	551	832	3325
"FALEC"	7	1	5	5
"AL356356.1"	1	0	2	2
"ADAMTSL4"	41	14	33	319
"ADAMTSL4-AS1"	49	29	41	142
"MCL1"	5340	3738	5825	9034
"ENSA"	2060	1513	1462	3642
"GOLPH3L"	282	124	160	349
"HORMAD1"	0	0	71	126
"CTSS"	107	125	190	346
"CTSK"	82	65	36	255
"ARNT"	204	121	168	308
"SETDB1"	147	104	96	254
"CERS2"	496	304	276	685
"ANXA9"	3	0	2	1
"MINDY1"	54	42	50	104
"PRUNE1"	132	101	120	235
"BNIPL"	236	122	129	400
"C1orf56"	348	343	829	1472
"CDC42SE1"	820	592	979	2119
"MLLT11"	71	41	59	86
"GABPB2"	125	91	105	257
"AL592424.1"	2	2	1	0
"SEMA6C"	32	21	34	50
"TNFAIP8L2"	0	0	0	0
"SCNM1"	490	260	264	612
"LYSMD1"	49	22	51	88
"VPS72"	436	242	297	579
"PIP5K1A"	820	413	708	699
"PSMD4"	1286	806	768	1969
"ZNF687-AS1"	50	25	41	69
"ZNF687"	79	48	50	161
"PI4KB"	333	202	261	485
"AL391069.3"	2	2	1	0
"RFX5"	65	99	135	206
"AL391069.2"	8	12	8	24
"SELENBP1"	305	133	90	279
"PSMB4"	1818	1286	1291	2899
"POGZ"	626	379	407	823
"CGN"	46	13	21	36
"TUFT1"	1177	587	1026	1667
"AL365436.2"	245	30	40	156
"SNX27"	509	279	303	808
"AL391335.1"	1	1	0	0
"CELF3"	0	0	0	0
"RIIAD1"	0	0	0	0
"MRPL9"	489	354	299	698
"OAZ3"	42	14	15	56
"TDRKH"	29	7	19	25
"TDRKH-AS1"	10	5	5	8
"AL589765.6"	0	0	0	0
"LINGO4"	0	0	0	0
"RORC"	34	20	16	64
"C2CD4D"	10	8	7	12
"THEM4"	187	92	119	349
"AL450992.2"	1	1	3	1
"S100A10"	44471	31633	31954	70885
"AL450992.1"	7	3	9	6
"S100A11"	31741	22550	31766	50615
"TCHH"	10	10	10	16
"FLG-AS1"	3	8	2	14
"AL589986.2"	2	3	2	6
"HRNR"	0	1	0	0
"FLG"	4	0	1	5
"FLG2"	1	0	2	1
"CRNN"	0	0	0	0
"LCE2D"	0	0	0	0
"KPRP"	3	2	6	19
"IVL"	60	11	10	40
"LINC01527"	1	2	0	3
"SPRR5"	0	0	0	0
"SPRR4"	1	0	0	0
"SPRR1A"	12	3	5	3
"SPRR3"	18	2	32	5
"SPRR1B"	145	9	228	28
"SPRR2D"	31	50	72	140
"SPRR2A"	237	159	638	190
"SPRR2B"	0	0	0	0
"SPRR2E"	1	2	0	0
"SPRR2F"	4	0	6	4
"SPRR2G"	0	0	0	0
"LOR"	0	3	2	4
"PGLYRP3"	1	0	0	1
"PGLYRP4"	7	17	5	17
"S100A9"	1155	309	110	5269
"S100A12"	2	0	2	8
"S100A8"	1059	100	123	6345
"S100A7"	0	0	2	1
"BX470102.1"	3	0	1	4
"S100A6"	238346	130337	150391	357070
"S100A5"	15	11	41	23
"S100A4"	132997	64928	65676	189233
"S100A3"	81	81	118	115
"S100A2"	66166	37043	51138	55969
"BX470102.2"	66	35	92	95
"S100A16"	3354	2474	3145	4155
"S100A14"	6828	2572	4192	7134
"S100A13"	3374	2375	2111	5461
"S100A1"	21	9	27	39
"AL162258.2"	35	21	28	72
"CHTOP"	663	383	418	853
"SNAPIN"	577	353	383	924
"ILF2"	1847	1213	1347	2302
"NPR1"	3	1	4	1
"INTS3"	286	132	177	422
"SLC27A3"	190	85	107	384
"GATAD2B"	343	212	288	518
"AL358472.5"	10	10	9	22
"DENND4B"	55	49	47	159
"CRTC2"	145	112	169	266
"SLC39A1"	1141	641	711	1451
"AL358472.4"	68	31	33	58
"AL358472.3"	6	1	3	13
"CREB3L4"	104	76	60	153
"JTB"	1586	1091	1037	2844
"AL358472.2"	12	7	5	31
"RAB13"	1765	1227	1192	2674
"RPS27"	57155	83188	82619	146084
"NUP210L"	1	2	5	15
"TPM3"	3297	1767	2434	4643
"C1orf189"	5	3	5	5
"C1orf43"	1417	853	934	2063
"UBAP2L"	510	295	407	824
"HAX1"	1306	903	760	1791
"AQP10"	2	5	2	0
"ATP8B2"	17	29	33	40
"IL6R-AS1"	97	46	63	32
"IL6R"	462	550	633	690
"SHE"	5	5	7	6
"AL162591.2"	7	1	3	3
"TDRD10"	3	0	2	2
"UBE2Q1"	463	282	388	745
"AL592078.2"	1	3	1	1
"CHRNB2"	0	1	0	0
"ADAR"	655	351	389	1256
"KCNN3"	8	0	3	4
"PMVK"	1934	851	955	2923
"AL451085.1"	28	16	11	29
"PBXIP1"	259	180	188	423
"PYGO2"	152	82	108	261
"AL451085.2"	110	71	29	126
"SHC1"	287	330	381	813
"CKS1B"	1605	1172	1048	2854
"FLAD1"	191	120	101	324
"ZBTB7B"	324	335	321	708
"DCST2"	15	12	5	15
"DCST1"	1	1	0	3
"DCST1-AS1"	26	11	14	47
"ADAM15"	435	199	201	722
"EFNA4"	159	102	97	267
"EFNA3"	85	67	73	107
"EFNA1"	1154	929	1124	1967
"SLC50A1"	471	191	292	565
"DPM3"	990	832	735	1790
"KRTCAP2"	2816	1688	1525	4734
"TRIM46"	3	7	3	10
"MUC1"	83	58	176	419
"AC234582.1"	2	27	28	29
"THBS3"	34	19	25	70
"MTX1"	514	301	346	903
"AC234582.2"	0	0	0	1
"GBA"	115	64	97	238
"FAM189B"	142	77	88	196
"SCAMP3"	337	183	252	597
"CLK2"	102	50	79	198
"HCN3"	33	8	10	37
"PKLR"	0	0	0	0
"FDPS"	1348	756	830	1985
"RUSC1-AS1"	16	10	7	19
"RUSC1"	338	148	182	542
"ASH1L"	1485	929	1299	2313
"ASH1L-IT1"	1	0	1	1
"ASH1L-AS1"	137	76	49	127
"AL353807.2"	2	0	3	2
"MSTO1"	104	46	47	146
"AL353807.5"	29	12	14	52
"YY1AP1"	411	256	390	605
"DAP3"	684	494	522	983
"GON4L"	446	208	229	625
"SYT11"	1	1	2	2
"RIT1"	297	226	272	380
"KHDC4"	896	395	516	996
"ARHGEF2"	105	106	137	154
"AL355388.2"	0	1	1	3
"AL355388.3"	0	0	0	0
"SSR2"	2063	1342	1295	2800
"UBQLN4"	146	60	99	226
"LAMTOR2"	1275	643	817	2428
"RAB25"	1082	621	743	1875
"MEX3A"	46	18	17	40
"LMNA"	16664	21107	17187	27577
"SEMA4A"	184	171	257	458
"SLC25A44"	110	54	136	249
"PMF1"	651	569	460	1376
"BGLAP"	56	68	55	129
"PAQR6"	15	9	9	35
"SMG5"	118	85	67	213
"TMEM79"	446	92	198	730
"GLMP"	108	74	124	202
"CCT3"	2180	892	875	2572
"TSACC"	12	11	12	32
"RHBG"	3	0	0	0
"C1orf61"	12	15	22	22
"MEF2D"	452	427	439	569
"AL365181.1"	0	2	2	4
"IQGAP3"	19	8	44	65
"NAXE"	881	498	494	1310
"GPATCH4"	683	287	402	857
"AL365181.4"	0	0	0	0
"HAPLN2"	1	2	3	2
"AL365181.2"	0	1	1	0
"BCAN"	3	7	4	3
"AL365181.3"	0	0	1	0
"NES"	10	1	2	7
"AL590666.3"	6	1	1	0
"CRABP2"	370	99	264	382
"ISG20L2"	441	297	537	743
"RRNAD1"	174	106	100	301
"MRPL24"	588	432	400	848
"HDGF"	2502	1493	1666	3270
"PRCC"	338	232	287	555
"SH2D2A"	1	3	0	2
"NTRK1"	0	1	0	0
"PEAR1"	1	1	1	9
"ARHGEF11"	120	62	68	171
"ETV3"	631	329	572	807
"FCRL2"	1	2	2	1
"KIRREL1"	19	26	39	76
"KIRREL1-IT1"	1	10	2	2
"LINC01704"	0	0	0	0
"CD1D"	0	0	0	0
"AL138899.1"	0	0	2	0
"CD1A"	0	0	0	0
"CD1C"	0	0	0	0
"CD1E"	0	0	0	0
"SPTA1"	0	8	0	0
"MNDA"	2	0	0	11
"PYHIN1"	0	5	0	5
"IFI16"	1669	1359	1436	3737
"AIM2"	0	0	0	3
"CADM3"	10	1	0	4
"CADM3-AS1"	2	0	0	0
"ACKR1"	9	6	4	37
"FCER1A"	5	0	0	7
"DUSP23"	3039	1915	1512	5799
"FCRL6"	1	0	2	3
"SLAMF8"	0	0	0	1
"AL590560.2"	7	5	1	9
"VSIG8"	9	5	5	13
"AL590560.3"	11	5	4	8
"CFAP45"	28	20	15	18
"AL590560.5"	2	1	1	2
"TAGLN2"	9085	4833	5870	16409
"IGSF9"	302	149	206	628
"SLAMF9"	7	4	7	9
